Column,Data Type,Unique Values,Missing %,Is Constant,Is Near Constant,Dominant Value,Dominant Fraction,Is Duplicate Column,Zero Variance,All Zeros,High Cardinality,Infinite Value Count,Unexpected Negative Count,Quality Flags,Quality Score
FOD_ID,int64,50881,0.0,False,False,300317795,0.0,False,False,False,False,0,0,PASS,PASS
FPA_ID,object,50881,0.0,False,False,2014CAIRS24109077,0.0,False,False,False,True,0,0,HIGH_CARD(50881),REVIEW
SOURCE_SYSTEM_TYPE,object,3,0.0,False,False,NONFED,0.7629,False,False,False,False,0,0,PASS,PASS
SOURCE_SYSTEM,object,7,0.0,False,False,ST-NASF,0.7315,False,False,False,False,0,0,PASS,PASS
NWCG_REPORTING_AGENCY,object,8,0.0,False,False,ST/C&L,0.7657,False,False,False,False,0,0,PASS,PASS
NWCG_REPORTING_UNIT_ID,object,122,0.0,False,False,USCACDF,0.4244,False,False,False,True,0,0,HIGH_CARD(122),REVIEW
NWCG_REPORTING_UNIT_NAME,object,122,0.0,False,False,California Department of Forestry & Fire Protection,0.4244,False,False,False,True,0,0,HIGH_CARD(122),REVIEW
SOURCE_REPORTING_UNIT,object,142,0.0,False,False,CACDF,0.5804,False,False,False,True,0,0,HIGH_CARD(142),REVIEW
SOURCE_REPORTING_UNIT_NAME,object,160,0.0,False,False,"Headquarters, California Department of Forestry & Fire Protection",0.5804,False,False,False,True,0,0,HIGH_CARD(160),REVIEW
LOCAL_FIRE_REPORT_ID,float64,3417,75.6176,False,False,1.0,0.0102,False,False,False,False,0,0,PASS,PASS
LOCAL_INCIDENT_ID,object,40010,8.9542,False,False,11,0.0023,False,False,False,True,0,0,HIGH_CARD(40010),REVIEW
FIRE_CODE,object,7703,76.6966,False,False,EK1W,0.0364,False,False,False,True,0,0,HIGH_CARD(7703),REVIEW
FIRE_NAME,object,17712,30.3532,False,False,CREEK,0.0042,False,False,False,True,0,0,HIGH_CARD(17712),REVIEW
ICS_209_PLUS_INCIDENT_JOIN_ID,object,602,98.5279,False,False,2017_7238965_MODOC JULY COMPLEX,0.0708,False,False,False,True,0,0,HIGH_CARD(602),REVIEW
ICS_209_PLUS_COMPLEX_JOIN_ID,object,32,99.5696,False,False,2017_7238965_MODOC JULY COMPLEX,0.2511,False,False,False,False,0,0,PASS,PASS
MTBS_ID,object,289,99.4045,False,False,CA4064212358620150731,0.0132,False,False,False,True,0,0,HIGH_CARD(289),REVIEW
MTBS_FIRE_NAME,object,266,99.4045,False,False,ROUTE COMPLEX,0.0132,False,False,False,True,0,0,HIGH_CARD(266),REVIEW
COMPLEX_NAME,object,34,99.5598,False,False,MODOC JULY COMPLEX,0.2634,False,False,False,False,0,0,PASS,PASS
FIRE_YEAR,int64,7,0.0,False,False,2017,0.1874,True,False,False,False,0,0,DUPLICATE,REVIEW
DISCOVERY_DATE,object,2320,0.0,False,False,2015-07-30,0.0031,False,False,False,True,0,0,HIGH_CARD(2320),REVIEW
DISCOVERY_DOY,int64,366,0.0,False,False,185,0.0132,False,False,False,False,0,0,PASS,PASS
DISCOVERY_TIME,float64,1440,1.1281,False,False,1600.0,0.0055,False,False,False,False,0,0,PASS,PASS
NWCG_CAUSE_CLASSIFICATION,object,3,0.0,False,False,Human,0.5791,False,False,False,False,0,0,PASS,PASS
NWCG_GENERAL_CAUSE,object,13,0.0,False,False,Missing data/not specified/undetermined,0.5068,False,False,False,False,0,0,PASS,PASS
NWCG_CAUSE_AGE_CATEGORY,object,1,97.6848,True,False,,0.0,False,False,False,False,0,0,CONSTANT,REVIEW
