Feature A,Feature B,Correlation,Abs Corr
FIRE_YEAR,source_year,1.0,1.0
M_WTR,WDLI,1.0,1.0
LHE,M_WKFC_105,1.0,1.0
WD_ET,M_WTR_EOMI,1.0,1.0
SM_C,SM_PFS,1.0,1.0
EPL_MINRTY,EPL_LIMENG,0.999951,0.999951
Ecoregion_NA_L2CODE,Ecoregion_NA_L1CODE,0.999938,0.999938
EPL_AGE17,EPL_MINRTY,0.99993,0.99993
EPL_MINRTY,EPL_CROWD,0.999927,0.999927
EPL_SNGPNT,EPL_MINRTY,0.999922,0.999922
EPL_AGE17,EPL_SNGPNT,0.999911,0.999911
EPL_LIMENG,EPL_CROWD,0.999895,0.999895
EPL_SNGPNT,EPL_CROWD,0.999891,0.999891
EPL_AGE17,EPL_LIMENG,0.999885,0.999885
EPL_AGE17,EPL_CROWD,0.999882,0.999882
EPL_SNGPNT,EPL_LIMENG,0.999873,0.999873
EPL_MINRTY,EPL_MUNIT,0.99987,0.99987
EPL_SNGPNT,EPL_MUNIT,0.999847,0.999847
Medusahead,PoaSecunda,0.999831,0.999831
EPL_LIMENG,EPL_MUNIT,0.99983,0.99983
EPL_MUNIT,EPL_CROWD,0.999829,0.999829
EPL_AGE17,EPL_MUNIT,0.999802,0.999802
CA,NCA,-0.9998,0.9998
EPL_MINRTY,EPL_GROUPQ,0.999777,0.999777
EPL_MUNIT,EPL_GROUPQ,0.999763,0.999763
EPL_AGE65,EPL_GROUPQ,0.999749,0.999749
EPL_CROWD,EPL_GROUPQ,0.999745,0.999745
EPL_LIMENG,EPL_GROUPQ,0.99974,0.99974
EPL_SNGPNT,EPL_GROUPQ,0.999725,0.999725
CheatGrass,PoaSecunda,0.99971,0.99971
EPL_AGE65,EPL_MUNIT,0.999698,0.999698
EPL_AGE17,EPL_GROUPQ,0.999663,0.999663
CheatGrass,Medusahead,0.999662,0.999662
EPL_AGE65,EPL_MINRTY,0.999636,0.999636
EPL_AGE65,EPL_CROWD,0.999634,0.999634
EPL_AGE65,EPL_LIMENG,0.999602,0.999602
EPL_AGE65,EPL_SNGPNT,0.999587,0.999587
CheatGrass,ExoticAnnualGrass,0.999566,0.999566
EPL_AGE65,EPL_AGE17,0.999515,0.999515
ExoticAnnualGrass,Medusahead,0.999393,0.999393
ExoticAnnualGrass,PoaSecunda,0.999121,0.999121
fm1000,fm1000_5D_mean,0.998863,0.998863
Elevation_1km,Elevation,0.998394,0.998394
EVH,EVC,0.997272,0.997272
fm1000_5D_mean,fm1000_5D_min,0.99715,0.99715
TRI_1km,Slope_1km,0.996022,0.996022
fm1000,fm1000_5D_min,0.995796,0.995796
DISCOVERY_DOY,CONT_DOY,0.99519,0.99519
FPL200S,M_EBSI,0.991514,0.991514
ALI,A_ET,0.991076,0.991076
LILHSE,LISO_ET,0.990577,0.990577
M_HSG,HBLI,0.99014,0.99014
fm100,fm100_5D_mean,0.984751,0.984751
PLHSE,POV_ET,0.984079,0.984079
srad_Normal,srad_5D_max,0.98247,0.98247
fm1000_Normal,erc_Normal,-0.980961,0.980961
HB_ET,M_HSG_EOMI,0.980623,0.980623
erc_5D_mean,erc_5D_max,0.980257,0.980257
erc,erc_5D_mean,0.979617,0.979617
srad_5D_mean,srad_5D_max,0.978135,0.978135
RPL_THEMES,RPL_THEME4,0.975299,0.975299
tmmn,tmmn_5D_mean,0.973993,0.973993
EPL_NOHSDP,EPL_LIMENG,0.973292,0.973292
EPL_NOHSDP,EPL_CROWD,0.973276,0.973276
EPL_NOHSDP,EPL_MINRTY,0.973257,0.973257
EPL_NOHSDP,EPL_SNGPNT,0.973253,0.973253
EPL_NOHSDP,EPL_AGE17,0.973181,0.973181
EPL_NOHSDP,EPL_MUNIT,0.973153,0.973153
EPL_NOHSDP,EPL_GROUPQ,0.973059,0.973059
EPL_NOHSDP,EPL_AGE65,0.972979,0.972979
tmmn_5D_mean,tmmn_5D_max,0.972674,0.972674
DLI,DB_ET,0.972486,0.972486
Annual_precipitation,Aridity_index,0.972036,0.972036
fm100_5D_mean,fm100_5D_min,0.96679,0.96679
TRI,Slope,0.966642,0.966642
tmmx_5D_mean,tmmx_5D_max,0.96618,0.96618
EPL_UNEMP,EPL_DISABL,0.965951,0.965951
srad,srad_5D_mean,0.965078,0.965078
srad_Normal,srad_5D_mean,0.964778,0.964778
HBLI,HB_ET,0.963705,0.963705
RPL_THEMES,RPL_THEME1,0.962667,0.962667
fm1000_5D_min,erc_5D_max,-0.962639,0.962639
fm100_Normal,erc_Normal,-0.960477,0.960477
fm1000,erc_5D_max,-0.960072,0.960072
fm1000_5D_mean,erc_5D_max,-0.96002,0.96002
tmmx,tmmx_5D_mean,0.959752,0.959752
M_TRN,TPLI,0.959622,0.959622
vpd_5D_mean,vpd_5D_max,0.959086,0.959086
etr_5D_mean,etr_5D_max,0.957385,0.957385
EPL_MOBILE,EPL_NOVEH,0.954787,0.954787
sph,sph_5D_mean,0.954458,0.954458
M_HSG,M_HSG_EOMI,0.954442,0.954442
sph_5D_mean,sph_5D_min,0.954162,0.954162
M_HSG,HB_ET,0.954117,0.954117
vpd,vpd_5D_mean,0.952619,0.952619
pr_5D_mean,pr_5D_max,0.951673,0.951673
EPL_DISABL,EPL_MOBILE,0.950262,0.950262
erc,erc_5D_max,0.949895,0.949895
fm1000_5D_mean,erc_5D_mean,-0.949071,0.949071
fm1000,erc_5D_mean,-0.948981,0.948981
TC,CC,0.948255,0.948255
TP_ET,M_TRN_EOMI,0.946965,0.946965
fm100,fm100_5D_min,0.946333,0.946333
HBLI,M_HSG_EOMI,0.945031,0.945031
erc_5D_mean,fm1000_5D_min,-0.942261,0.942261
srad,srad_5D_max,0.941894,0.941894
tmmn,tmmn_5D_max,0.941191,0.941191
EPL_UNEMP,EPL_NOVEH,0.939194,0.939194
etr,etr_5D_mean,0.938274,0.938274
bi_Normal,erc_Normal,0.937555,0.937555
RPL_THEME1,RPL_THEME4,0.935073,0.935073
rmax_5D_mean,rmax_5D_min,0.934449,0.934449
RPL_THEME4,EPL_NOVEH,0.933681,0.933681
RPL_THEME1,RPL_THEME2,0.931859,0.931859
tmmx_Normal,vpd_Normal,0.931306,0.931306
fm100_5D_mean,erc_5D_mean,-0.929823,0.929823
fm100_Normal,fm1000_Normal,0.929637,0.929637
LLELI,LLE_ET,0.926511,0.926511
rmax,rmax_5D_mean,0.926007,0.926007
srad_Normal,srad,0.924825,0.924825
fm1000,erc,-0.921864,0.921864
RPL_THEME2,EPL_DISABL,0.921138,0.921138
fm100_5D_min,erc_5D_max,-0.919924,0.919924
RPL_THEME2,RPL_THEME4,0.919823,0.919823
tmmx,tmmx_5D_max,0.919704,0.919704
EPL_UNEMP,EPL_MOBILE,0.918024,0.918024
erc,fm1000_5D_mean,-0.917721,0.917721
tmmx_5D_max,vpd_5D_max,0.916637,0.916637
tmmx_5D_mean,vpd_5D_mean,0.914346,0.914346
erc,fm100_5D_mean,-0.914192,0.914192
fm100,erc,-0.912252,0.912252
fm1000_Normal,bi_Normal,-0.911769,0.911769
rmin_5D_mean,rmin_5D_min,0.911073,0.911073
RPL_THEMES,EPL_NOVEH,0.910625,0.910625
tmmx,vpd,0.909555,0.909555
EPL_PCI,RPL_THEME3,0.908839,0.908839
erc,fm1000_5D_min,-0.908186,0.908186
fm100_5D_mean,erc_5D_max,-0.908041,0.908041
M_HLTH,M_HLTH_102,0.907832,0.907832
rmin,rmin_5D_mean,0.907708,0.907708
SM_PFS,M_EBSI,0.907522,0.907522
SM_C,M_EBSI,0.907522,0.907522
EPL_DISABL,EPL_NOVEH,0.907302,0.907302
EPL_POV,EPL_DISABL,0.90709,0.90709
fm100,erc_5D_mean,-0.905016,0.905016
LMILHSE,LMI_ET,0.901758,0.901758
erc_5D_mean,fm100_5D_min,-0.900338,0.900338
vpd,vpd_5D_max,0.900306,0.900306
sph,sph_5D_min,0.900079,0.900079
tmmn_Normal,tmmn_5D_mean,0.900045,0.900045
