Feature A,Feature B,Correlation,Abs Corr
WD_ET,M_WTR_EOMI,1.0,1.0
LHE,M_WKFC_105,1.0,1.0
SM_C,SM_PFS,1.0,1.0
M_WTR,WDLI,1.0,1.0
FIRE_YEAR,source_year,1.0,1.0
CA,NCA,-0.999974,0.999974
Ecoregion_NA_L2CODE,Ecoregion_NA_L1CODE,0.999912,0.999912
pr_5D_mean,pr_5D_max,0.999535,0.999535
fm1000,fm1000_5D_mean,0.999152,0.999152
TRI_1km,Slope_1km,0.998331,0.998331
EVH,EVC,0.998229,0.998229
CheatGrass,ExoticAnnualGrass,0.997921,0.997921
ExoticAnnualGrass,Medusahead,0.997193,0.997193
fm1000_5D_mean,fm1000_5D_min,0.996568,0.996568
Elevation_1km,Elevation,0.99635,0.99635
DISCOVERY_DOY,CONT_DOY,0.995489,0.995489
fm1000,fm1000_5D_min,0.995296,0.995296
Medusahead,PoaSecunda,0.994897,0.994897
CheatGrass,Medusahead,0.994569,0.994569
ExoticAnnualGrass,PoaSecunda,0.994376,0.994376
CheatGrass,PoaSecunda,0.994162,0.994162
fm1000_Normal,erc_Normal,-0.993076,0.993076
TC,CC,0.992601,0.992601
M_HSG,HBLI,0.991307,0.991307
ALI,A_ET,0.990963,0.990963
FPL200S,M_EBSI,0.990792,0.990792
LILHSE,LISO_ET,0.989365,0.989365
Annual_precipitation,Aridity_index,0.986812,0.986812
fm100,fm100_5D_mean,0.985115,0.985115
PLHSE,POV_ET,0.983905,0.983905
HB_ET,M_HSG_EOMI,0.982527,0.982527
erc,erc_5D_mean,0.978563,0.978563
erc_5D_mean,erc_5D_max,0.977836,0.977836
DLI,DB_ET,0.973607,0.973607
fm1000_5D_min,erc_5D_max,-0.973381,0.973381
fm1000,erc_5D_max,-0.972302,0.972302
FOD_ID,source_year,0.972215,0.972215
FOD_ID,FIRE_YEAR,0.972215,0.972215
fm1000_5D_mean,erc_5D_max,-0.972214,0.972214
tmmn,tmmn_5D_mean,0.970844,0.970844
tmmn_5D_mean,tmmn_5D_max,0.968672,0.968672
fm100_5D_mean,fm100_5D_min,0.96382,0.96382
HBLI,HB_ET,0.963404,0.963404
tmmx_5D_mean,tmmx_5D_max,0.96303,0.96303
M_TRN,TPLI,0.962796,0.962796
tmmx_Normal,vpd_Normal,0.962366,0.962366
SM_PFS,CC,0.96149,0.96149
SM_C,CC,0.96149,0.96149
vpd_5D_mean,vpd_5D_max,0.960882,0.960882
fm1000,erc_5D_mean,-0.960857,0.960857
fm100_Normal,erc_Normal,-0.960806,0.960806
fm1000_5D_mean,erc_5D_mean,-0.960586,0.960586
SM_C,TC,0.960172,0.960172
SM_PFS,TC,0.960172,0.960172
tmmx,tmmx_5D_mean,0.95956,0.95956
srad,srad_5D_mean,0.957636,0.957636
etr_5D_mean,etr_5D_max,0.956073,0.956073
TRI,Slope,0.955424,0.955424
M_HSG,HB_ET,0.954953,0.954953
M_HSG,M_HSG_EOMI,0.954871,0.954871
srad_5D_mean,srad_5D_max,0.954369,0.954369
sph_5D_mean,sph_5D_min,0.95206,0.95206
erc_5D_mean,fm1000_5D_min,-0.950283,0.950283
vpd,vpd_5D_mean,0.949983,0.949983
sph,sph_5D_mean,0.949893,0.949893
TP_ET,M_TRN_EOMI,0.94869,0.94869
RPL_THEME3,EPL_LIMENG,0.947305,0.947305
fm100,fm100_5D_min,0.946982,0.946982
HBLI,M_HSG_EOMI,0.94657,0.94657
erc,erc_5D_max,0.94553,0.94553
tmmx_5D_max,vpd_5D_max,0.944692,0.944692
tmmx_5D_mean,vpd_5D_mean,0.943662,0.943662
srad_Normal,srad_5D_max,0.9416,0.9416
tmmx,vpd,0.939912,0.939912
etr,etr_5D_mean,0.938023,0.938023
fm100_5D_mean,erc_5D_mean,-0.937355,0.937355
rmax_5D_mean,rmax_5D_min,0.936486,0.936486
tmmn,tmmn_5D_max,0.933971,0.933971
fm1000,erc,-0.931887,0.931887
srad,srad_5D_max,0.93187,0.93187
RPL_THEME3,EPL_MINRTY,0.931359,0.931359
fm100_5D_min,erc_5D_max,-0.929855,0.929855
LLELI,LLE_ET,0.929,0.929
fm100_Normal,fm1000_Normal,0.927617,0.927617
bi_Normal,erc_Normal,0.927273,0.927273
RPL_THEME1,EPL_PCI,0.927257,0.927257
erc,fm1000_5D_mean,-0.927171,0.927171
rmax,rmax_5D_mean,0.923068,0.923068
erc,fm100_5D_mean,-0.921933,0.921933
fm100,erc,-0.921303,0.921303
srad_Normal,srad_5D_mean,0.918967,0.918967
RPL_THEMES,RPL_THEME1,0.918703,0.918703
rmin_Normal,erc_Normal,-0.918046,0.918046
tmmx,tmmx_5D_max,0.917564,0.917564
tmmx_5D_mean,vpd_5D_max,0.915088,0.915088
erc,fm1000_5D_min,-0.913827,0.913827
fm100,erc_5D_mean,-0.913689,0.913689
rmin,rmin_5D_mean,0.913347,0.913347
erc_5D_mean,fm100_5D_min,-0.912498,0.912498
M_HLTH,M_HLTH_102,0.911004,0.911004
fm1000_Normal,bi_Normal,-0.910584,0.910584
fm100_5D_mean,erc_5D_max,-0.908796,0.908796
rmin_Normal,fm1000_Normal,0.908557,0.908557
tmmx,vpd_5D_mean,0.908415,0.908415
