Column,Leakage Label,Readiness Label,Missing %,Is Constant,Unique Values,Rationale
FOD_ID,Definitely Safe,Administrative,0.0,False,50881,Information is typically available before fire ignition.
FPA_ID,Definitely Safe,Review Later,0.0,False,50881,Information is typically available before fire ignition.
SOURCE_SYSTEM_TYPE,Definitely Safe,Administrative,0.0,False,3,Information is typically available before fire ignition.
SOURCE_SYSTEM,Definitely Safe,Administrative,0.0,False,7,Information is typically available before fire ignition.
NWCG_REPORTING_AGENCY,Definitely Safe,Administrative,0.0,False,8,Information is typically available before fire ignition.
NWCG_REPORTING_UNIT_ID,Definitely Safe,Administrative,0.0,False,122,Information is typically available before fire ignition.
NWCG_REPORTING_UNIT_NAME,Definitely Safe,Administrative,0.0,False,122,Information is typically available before fire ignition.
SOURCE_REPORTING_UNIT,Definitely Safe,Review Later,0.0,False,142,Information is typically available before fire ignition.
SOURCE_REPORTING_UNIT_NAME,Definitely Safe,Review Later,0.0,False,160,Information is typically available before fire ignition.
LOCAL_FIRE_REPORT_ID,Possible Leakage,Review Later,75.6176,False,3417,May contain post-fire information; requires domain verification.
LOCAL_INCIDENT_ID,Definitely Safe,Administrative,8.9542,False,40010,Information is typically available before fire ignition.
FIRE_CODE,Possible Leakage,Review Later,76.6966,False,7703,May contain post-fire information; requires domain verification.
FIRE_NAME,Possible Leakage,Review Later,30.3532,False,17712,May contain post-fire information; requires domain verification.
ICS_209_PLUS_INCIDENT_JOIN_ID,Definite Leakage,Likely Remove,98.5279,False,602,Contains information only known after fire occurrence or containment.
ICS_209_PLUS_COMPLEX_JOIN_ID,Definite Leakage,Likely Remove,99.5696,False,32,Contains information only known after fire occurrence or containment.
MTBS_ID,Definite Leakage,Likely Remove,99.4045,False,289,Contains information only known after fire occurrence or containment.
MTBS_FIRE_NAME,Definite Leakage,Likely Remove,99.4045,False,266,Contains information only known after fire occurrence or containment.
COMPLEX_NAME,Possible Leakage,Review Later,99.5598,False,34,May contain post-fire information; requires domain verification.
FIRE_YEAR,Definitely Safe,Candidate Feature,0.0,False,7,Information is typically available before fire ignition.
DISCOVERY_DATE,Definitely Safe,Review Later,0.0,False,2320,Information is typically available before fire ignition.
DISCOVERY_DOY,Possible Leakage,Review Later,0.0,False,366,May contain post-fire information; requires domain verification.
DISCOVERY_TIME,Possible Leakage,Review Later,1.1281,False,1440,May contain post-fire information; requires domain verification.
NWCG_CAUSE_CLASSIFICATION,Definitely Safe,Review Later,0.0,False,3,Information is typically available before fire ignition.
NWCG_GENERAL_CAUSE,Definitely Safe,Review Later,0.0,False,13,Information is typically available before fire ignition.
NWCG_CAUSE_AGE_CATEGORY,Definitely Safe,Review Later,97.6848,True,1,Information is typically available before fire ignition.
CONT_DATE,Definite Leakage,Likely Remove,40.2351,False,2142,Contains information only known after fire occurrence or containment.
CONT_DOY,Definite Leakage,Likely Remove,40.2351,False,366,Contains information only known after fire occurrence or containment.
CONT_TIME,Definite Leakage,Likely Remove,40.862,False,1437,Contains information only known after fire occurrence or containment.
FIRE_SIZE,Definite Leakage,Likely Remove,0.0,False,1571,Contains information only known after fire occurrence or containment.
FIRE_SIZE_CLASS,Definite Leakage,Likely Remove,0.0,False,7,Contains information only known after fire occurrence or containment.
LATITUDE,Definitely Safe,Candidate Feature,0.0,False,42005,Information is typically available before fire ignition.
LONGITUDE,Definitely Safe,Candidate Feature,0.0,False,41988,Information is typically available before fire ignition.
OWNER_DESCR,Definitely Safe,Review Later,0.0,False,16,Information is typically available before fire ignition.
STATE,Definitely Safe,Likely Remove,0.0,True,1,Information is typically available before fire ignition.
COUNTY,Definitely Safe,Review Later,9.0387,False,177,Information is typically available before fire ignition.
FIPS_CODE,Definitely Safe,Review Later,9.0387,False,58,Information is typically available before fire ignition.
FIPS_NAME,Definitely Safe,Review Later,9.0387,False,58,Information is typically available before fire ignition.
LatLong_State,Definitely Safe,Review Later,0.0865,False,4,Information is typically available before fire ignition.
LatLong_County,Definitely Safe,Review Later,0.0865,False,66,Information is typically available before fire ignition.
NPL,Definitely Safe,Review Later,0.0,False,5,Information is typically available before fire ignition.
Mang_Type,Definitely Safe,Review Later,0.002,False,9,Information is typically available before fire ignition.
Mang_Name,Definitely Safe,Review Later,0.002,False,25,Information is typically available before fire ignition.
Des_Tp,Definitely Safe,Review Later,0.002,False,48,Information is typically available before fire ignition.
GAP_Sts,Definitely Safe,Review Later,0.002,False,4,Information is typically available before fire ignition.
GAP_Prity,Definitely Safe,Review Later,0.002,False,5,Information is typically available before fire ignition.
EVH,Definitely Safe,Review Later,0.0,False,96,Information is typically available before fire ignition.
EVT,Definitely Safe,Review Later,0.0,False,157,Information is typically available before fire ignition.
EVH_1km,Definitely Safe,Review Later,0.0,False,40186,Information is typically available before fire ignition.
