Column,Missing Count,Missing %,Present Count,Present %,Tier
IALMIL_87,50881,100.0,0,0.0,Critical (≥90.0%)
IAULHS_89,50881,100.0,0,0.0,Critical (≥90.0%)
geometry,50881,100.0,0,0.0,Critical (≥90.0%)
GACC_Fire Use Teams,50881,100.0,0,0.0,Critical (≥90.0%)
IAHSEF,50881,100.0,0,0.0,Critical (≥90.0%)
IAPLHS_88,50881,100.0,0,0.0,Critical (≥90.0%)
road_interstate_dis,50840,99.9194,41,0.0806,Critical (≥90.0%)
road_US_dis,50758,99.7583,123,0.2417,Critical (≥90.0%)
ICS_209_PLUS_COMPLEX_JOIN_ID,50662,99.5696,219,0.4304,Critical (≥90.0%)
COMPLEX_NAME,50657,99.5598,224,0.4402,Critical (≥90.0%)
MTBS_ID,50578,99.4045,303,0.5955,Critical (≥90.0%)
MTBS_FIRE_NAME,50578,99.4045,303,0.5955,Critical (≥90.0%)
road_other_dis,50536,99.3219,345,0.6781,Critical (≥90.0%)
road_state_dis,50188,98.638,693,1.362,Critical (≥90.0%)
ICS_209_PLUS_INCIDENT_JOIN_ID,50132,98.5279,749,1.4721,Critical (≥90.0%)
road_county_dis,50042,98.3511,839,1.6489,Critical (≥90.0%)
NWCG_CAUSE_AGE_CATEGORY,49703,97.6848,1178,2.3152,Critical (≥90.0%)
Evacuation,45352,89.1335,5529,10.8665,High (≥75.0%)
No_FireStation_1.0km,42760,84.0392,8121,15.9608,High (≥75.0%)
FIRE_CODE,39024,76.6966,11857,23.3034,High (≥75.0%)
LOCAL_FIRE_REPORT_ID,38475,75.6176,12406,24.3824,High (≥75.0%)
WF_PFS,23558,46.3002,27323,53.6998,Low (≥25.0%)
CONT_TIME,20791,40.862,30090,59.138,Low (≥25.0%)
CONT_DATE,20472,40.2351,30409,59.7649,Low (≥25.0%)
CONT_DOY,20472,40.2351,30409,59.7649,Low (≥25.0%)
road_common_name_dis,17820,35.0229,33061,64.9771,Low (≥25.0%)
FIRE_NAME,15444,30.3532,35437,69.6468,Low (≥25.0%)
CheatGrass,13847,27.2145,37034,72.7855,Low (≥25.0%)
ExoticAnnualGrass,13847,27.2145,37034,72.7855,Low (≥25.0%)
PoaSecunda,13847,27.2145,37034,72.7855,Low (≥25.0%)
Medusahead,13847,27.2145,37034,72.7855,Low (≥25.0%)
No_FireStation_5.0km,12076,23.7338,38805,76.2662,Minimal (<25%)
COUNTY,4599,9.0387,46282,90.9613,Minimal (<25%)
FIPS_CODE,4599,9.0387,46282,90.9613,Minimal (<25%)
FIPS_NAME,4599,9.0387,46282,90.9613,Minimal (<25%)
LOCAL_INCIDENT_ID,4556,8.9542,46325,91.0458,Minimal (<25%)
