Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
EVT,50881,50881,7425.165641,7299.0,530.766294,281712.85849,7008.0,7028.0,7299.0,7299.0,9153.0,9829.0,0.0,2.843596,7.311086,18851,37.0492,0,True,True,,,
GAP_Prity,50880,50880,1.667787,0.0,3.043496,9.262871,0.0,0.0,0.0,0.0,8.0,9.0,0.0,1.326657,-0.114296,11931,23.4493,0,False,False,,,
pr_5D_max,50881,50881,1.640626,0.0,5.879351,34.566773,0.0,0.0,0.0,0.0,9.6,132.4,0.0,7.236939,76.705537,11707,23.0086,0,True,True,,,
pr_5D_mean,50881,50881,0.461649,0.0,1.838949,3.381733,0.0,0.0,0.0,0.0,2.54,54.14,0.0,8.932783,120.854139,11707,23.0086,0,True,True,,,
LOCAL_FIRE_REPORT_ID,12406,12406,70901.495164,68.0,182249.248265,33214788492.979538,1.0,6.0,28.0,734.5,555886.75,600489.0,706.5,2.233776,3.024953,2546,20.5223,0,True,False,,,
M_ENY,50879,50879,0.203738,0.0,0.402781,0.162232,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.47114,0.16426,10366,20.3738,0,False,False,,,
UN_ET,50879,50879,0.198825,0.0,0.39912,0.159297,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.509257,0.277869,10116,19.8825,0,False,False,,,
GAP_Sts,50880,50880,3.739171,4.0,0.635987,0.40448,1.0,2.0,4.0,4.0,4.0,4.0,0.0,-2.808637,7.906661,9250,18.18,0,True,True,,,
M_CLT,50879,50879,0.17632,0.0,0.381096,0.145234,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.698744,0.885766,8971,17.632,0,False,False,,,
Medusahead,37034,37034,217.524761,255.0,89.330218,7979.88777,0.0,2.0,255.0,255.0,255.0,255.0,0.0,-1.965175,1.864591,5544,14.97,0,False,False,,,
ExoticAnnualGrass,37034,37034,219.570044,255.0,84.52188,7143.94823,0.0,14.0,255.0,255.0,255.0,255.0,0.0,-1.971852,1.903402,5544,14.97,0,False,False,,,
CheatGrass,37034,37034,218.208025,255.0,87.713183,7693.602554,0.0,7.0,255.0,255.0,255.0,255.0,0.0,-1.966271,1.870877,5544,14.97,0,False,False,,,
PoaSecunda,37034,37034,217.294918,255.0,89.868371,8076.324114,0.0,1.0,255.0,255.0,255.0,255.0,0.0,-1.964275,1.859408,5544,14.97,0,False,False,,,
ULHSE,50879,50879,0.148725,0.0,0.355821,0.126609,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.974523,1.898814,7567,14.8725,0,False,False,,,
M_HLTH_102,50879,50879,0.144677,0.0,0.351778,0.123748,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.020237,2.081439,7361,14.4677,0,True,False,,,
Population,50881,50881,-292.613221,0.1263,5439.815496,29591592.635248,-99999.0,0.0,0.0,2.1708,24.021,396.4778,2.1708,-18.275088,331.993264,7324,14.3944,0,True,True,,,
PM25LI,50879,50879,0.140647,0.0,0.347661,0.120868,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.06734,2.273986,7156,14.0647,0,True,False,,,
GDP,50878,50878,55600.151516,55768.438,1385.912165,1920752.529903,15790.716,54876.344,55768.438,55768.438,55768.438,55768.438,0.0,-26.119334,735.751297,6588,12.9486,0,True,True,,,
TRACT,50837,50837,87424.16425,10102.0,209882.812622,44050795034.09277,100.0,120.0,1301.0,42412.0,553901.0,990000.0,41111.0,3.050088,8.575168,6388,12.5657,0,True,True,,,
EBLRLI,50879,50879,0.12341,0.0,0.328911,0.108182,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.290008,3.244263,6279,12.341,0,True,False,,,
LISO_ET,50879,50879,0.122742,0.0,0.328144,0.107679,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.299432,3.287514,6245,12.2742,0,True,False,,,
M_HLTH,50879,50879,0.122349,0.0,0.327692,0.107382,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.305006,3.313182,6225,12.2349,0,True,False,,,
