Column Name,Data Type,Semantic Type,Example Value,Unique Values,Missing Count,Missing %,Description
FOD_ID,int64,Numeric,300317795,50881,0,0.0,Fire occurrence database unique identifier
FPA_ID,object,Text,2014CAIRS24109077,50881,0,0.0,No description available
SOURCE_SYSTEM_TYPE,object,Categorical,NONFED,3,0,0.0,No description available
SOURCE_SYSTEM,object,Categorical,ST-CACDF,7,0,0.0,No description available
NWCG_REPORTING_AGENCY,object,Categorical,ST/C&L,8,0,0.0,Agency that reported the fire
NWCG_REPORTING_UNIT_ID,object,Categorical,USCAVNC,122,0,0.0,No description available
NWCG_REPORTING_UNIT_NAME,object,Categorical,Ventura County Fire Department,122,0,0.0,No description available
SOURCE_REPORTING_UNIT,object,Categorical,CAVNC,142,0,0.0,No description available
SOURCE_REPORTING_UNIT_NAME,object,Categorical,Ventura County Fire Department,160,0,0.0,No description available
LOCAL_FIRE_REPORT_ID,float64,Numeric,515412.0,3417,38475,75.6176,No description available
LOCAL_INCIDENT_ID,object,Text,000002,40010,4556,8.9542,No description available
FIRE_CODE,object,Text,H08Y,7703,39024,76.6966,No description available
FIRE_NAME,object,Text,REDTAIL/TAC 3,17712,15444,30.3532,Name assigned to the fire
ICS_209_PLUS_INCIDENT_JOIN_ID,object,Text,2014_247609_SODA,602,50132,98.5279,Join key to ICS-209+ incident database
ICS_209_PLUS_COMPLEX_JOIN_ID,object,Categorical,2014_407445_BASILONE COMPLEX,32,50662,99.5696,Join key to ICS-209+ complex database
MTBS_ID,object,Text,CA3415911784320140116,289,50578,99.4045,Monitoring Trends in Burn Severity fire ID
MTBS_FIRE_NAME,object,Text,COLBY,266,50578,99.4045,Fire name in MTBS dataset
COMPLEX_NAME,object,Categorical,BASILONE COMPLEX,34,50657,99.5598,Name of fire complex (if part of multi-fire event)
FIRE_YEAR,int64,Numeric,2014,7,0,0.0,Calendar year the fire was discovered
DISCOVERY_DATE,object,Text,2014-01-01,2320,0,0.0,Date fire was first reported
DISCOVERY_DOY,int64,Numeric,1,366,0,0.0,Discovery day-of-year (1–366)
DISCOVERY_TIME,float64,Numeric,9.0,1440,574,1.1281,Time fire was first reported (HHMM)
NWCG_CAUSE_CLASSIFICATION,object,Categorical,Human,3,0,0.0,No description available
NWCG_GENERAL_CAUSE,object,Categorical,Misuse of fire by a minor,13,0,0.0,General cause category per NWCG standard
NWCG_CAUSE_AGE_CATEGORY,object,Categorical,Minor,1,49703,97.6848,Age category of responsible person (if human cause)
CONT_DATE,object,Text,1/1/2014 0:00:00,2142,20472,40.2351,Date fire was declared contained
CONT_DOY,float64,Numeric,1.0,366,20472,40.2351,Containment day-of-year
CONT_TIME,float64,Numeric,1205.0,1437,20791,40.862,Time fire was contained (HHMM)
FIRE_SIZE,float64,Numeric,0.01,1571,0,0.0,Final fire size in acres
FIRE_SIZE_CLASS,object,Categorical,A,7,0,0.0,Categorical fire size class (A–G)
LATITUDE,float64,Numeric,34.666666,42005,0,0.0,Geographic latitude of fire origin (WGS84)
LONGITUDE,float64,Numeric,-119.333333,41988,0,0.0,Geographic longitude of fire origin (WGS84)
OWNER_DESCR,object,Categorical,MISSING/NOT SPECIFIED,16,0,0.0,Land ownership description
STATE,object,Categorical,CA,1,0,0.0,Two-letter US state abbreviation
COUNTY,object,Categorical,EL DORADO,177,4599,9.0387,County name where fire occurred
FIPS_CODE,float64,Numeric,6017.0,58,4599,9.0387,Administrative geographic code
FIPS_NAME,object,Categorical,El Dorado County,58,4599,9.0387,Administrative geographic code
LatLong_State,object,Categorical,California,4,44,0.0865,Latitude coordinate
LatLong_County,object,Categorical,Ventura,66,44,0.0865,Latitude coordinate
NPL,float64,Numeric,1.0,5,0,0.0,No description available
Mang_Type,object,Categorical,FED,9,1,0.002,No description available
Mang_Name,object,Categorical,USFS,25,1,0.002,No description available
Des_Tp,object,Categorical,WA,48,1,0.002,No description available
GAP_Sts,float64,Numeric,1.0,4,1,0.002,No description available
GAP_Prity,float64,Numeric,9.0,5,1,0.002,No description available
EVH,float64,Numeric,222.0,96,0,0.0,No description available
EVT,float64,Numeric,7110.0,157,0,0.0,No description available
EVH_1km,object,Text,220(9%) / 219(8%) / 218(8%),40186,0,0.0,No description available
EVT_1km,object,Text,7110(48%) / 7097(17%) / 7118(16%),41996,0,0.0,No description available
EVC,float64,Numeric,249.0,214,0,0.0,No description available
EVC_1km,object,Text,244(6%) / 246(6%) / 248(6%),39786,0,0.0,No description available
NAME,object,Categorical,Southern California Mountains/Northern Baja Coast,18,68,0.1336,No description available
MOD_NDVI_12m,object,Text,'0.36' '0.37' '0.36' '0.37' '0.38' '0.37' '0.37' '0.38' '0.39' '0.41' '0.41' ...,38769,0,0.0,Vegetation index
MOD_EVI_12m,object,Text,'0.15' '0.17' '0.17' '0.2' '0.21' '0.21' '0.22' '0.22' '0.19' '0.21' '0.18' '...,38758,0,0.0,Vegetation index
Land_Cover,float64,Numeric,42.0,16,0,0.0,No description available
Land_Cover_1km,object,Text,42(44%) / 43(32%) / 52(19%),39929,0,0.0,No description available
rpms,float64,Numeric,0.0,3734,0,0.0,No description available
rpms_1km,float64,Numeric,188.5270833333333,46607,0,0.0,No description available
Population,float64,Numeric,0.0002,20394,0,0.0,Latitude coordinate
Popo_1km,float64,Numeric,0.0003,24450,13,0.0255,Population metric
GACCAbbrev,object,Categorical,ONCC,10,100,0.1965,No description available
GACC_PL,float64,Numeric,1.0,5,100,0.1965,No description available
GACC_New fire,float64,Numeric,80.0,235,100,0.1965,No description available
GACC_New LF,float64,Numeric,2.0,40,100,0.1965,No description available
GACC_Uncont LF,float64,Numeric,1.0,36,100,0.1965,No description available
GACC_Type 1 IMTs,float64,Numeric,0.0,8,100,0.1965,No description available
GACC_Type 2 IMTs,float64,Numeric,0.0,13,100,0.1965,No description available
GACC_NIMO Teams,float64,Numeric,0.0,4,100,0.1965,No description available
GACC_Area Command Teams,float64,Numeric,0.0,3,100,0.1965,No description available
GACC_Fire Use Teams,float64,Numeric,N/A,0,50881,100.0,No description available
GDP,float64,Numeric,54876.344,9,3,0.0059,No description available
pr_Normal,float64,Numeric,6.17,958,0,0.0,No description available
tmmn_Normal,float64,Numeric,271.1000061035156,359,0,0.0,No description available
tmmx_Normal,float64,Numeric,284.1000061035156,399,0,0.0,No description available
rmin_Normal,float64,Numeric,28.9,603,806,1.5841,No description available
rmax_Normal,float64,Numeric,71.7,676,806,1.5841,No description available
sph_Normal,float64,Numeric,0.003,107,0,0.0,No description available
srad_Normal,float64,Numeric,117.0,297,0,0.0,No description available
