Column,Unique Count,Missing %,Top Category,Top Category Count,Top Category %,Top 5 Categories
FPA_ID,51033,0.0,SFO-2014TXTXS1873,1,0.002,SFO-2014TXTXS1873: 1; SFO-2017TXPRI691301: 1; SFO-2017TXPRI692443: 1; SFO-2017TXPRI691571: 1; SFO-2017TXPRI693578: 1
LOCAL_INCIDENT_ID,50072,1.3031,03,9,0.0176,03: 9; 01: 7; 001: 7; 2: 6; 02: 5
EVT_1km,47130,0.0,7997(53%) / 7519(35%) / 9823(4%),36,0.0705,7997(53%) / 7519(35%) / 9823(4%): 36; 7997(43%) / 9322(21%) / 7371(11%): 21; 7987(68%) / 7984(16%) / 7299(5%): 17; 7997(28%) / 7299(14%) / 7371(12%): 16; 7987(78%) / 7986(5%) / 9323(5%): 14
Land_Cover_1km,46587,0.0,52(100%),48,0.0941,52(100%): 48; 81(53%) / 43(33%) / 71(5%): 36; 81(44%) / 42(28%) / 90(12%): 21; 81(79%) / 90(7%) / 21(5%): 17; 81(30%) / 42(21%) / 43(20%): 16
EVH_1km,44470,0.0,304(35%) / 305(13%) / 303(9%),38,0.0745,304(35%) / 305(13%) / 303(9%): 38; 305(21%) / 303(13%) / 304(9%): 21; 304(45%) / 64(16%) / 303(15%): 17; 304(15%) / 25(14%) / 305(11%): 17; 304(45%) / 303(41%) / 25(2%): 14
MOD_EVI_12m,41236,0.0,'0.21' '0.31' '0.19' '0.24' '0.23' '0.28' '0.29' '0.32' '0.33' '0.33' '0.32' '0.26',16,0.0314,'0.21' '0.31' '0.19' '0.24' '0.23' '0.28' '0.29' '0.32' '0.33' '0.33' '0.32' '0.26': 16; '0.55' '0.54' '0.58' '0.51' '0.32' '0.29' '0.3' '0.31' '0.32' '0.39' '0.47' '0.51': 15; '0.26' '0.27' '0.3' '0.27' '0.22' '0.15' '0.14' '0.17' '0.19' '0.2' '0.2' '0.22': 15; '0.24' '0.21' '0.21' '0.23' '0.27' '0.32' '0.33' '0.31' '0.35' '0.36' '0.32' '0.29': 13; '0.29' '0.35' '0.33' '0.23' '0.18' '0.15' '0.17' '0.21' '0.26' '0.3' '0.33' '0.4': 12
MOD_NDVI_12m,41236,0.0,'0.36' '0.46' '0.34' '0.39' '0.38' '0.42' '0.43' '0.45' '0.46' '0.46' '0.46' '0.41',16,0.0314,'0.36' '0.46' '0.34' '0.39' '0.38' '0.42' '0.43' '0.45' '0.46' '0.46' '0.46' '0.41': 16; '0.8' '0.81' '0.84' '0.79' '0.66' '0.67' '0.67' '0.7' '0.74' '0.81' '0.81' '0.8': 15; '0.37' '0.39' '0.45' '0.4' '0.35' '0.27' '0.25' '0.31' '0.32' '0.3' '0.33' '0.34': 15; '0.4' '0.36' '0.35' '0.39' '0.43' '0.46' '0.48' '0.49' '0.47' '0.49' '0.45' '0.43': 13; '0.44' '0.5' '0.48' '0.38' '0.32' '0.29' '0.34' '0.39' '0.42' '0.45' '0.5' '0.54': 12
NDVI_max,41218,0.0,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan',18,0.0353,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan': 18; '0.38' '0.33' '0.34' '0.41' '0.44' '0.45' '0.48' '0.48' '0.5' '0.54' '0.51' '0.44': 16; '0.85' '0.79' '0.83' '0.85' '0.73' '0.7' '0.7' '0.7' '0.79' '0.84' '0.89' '0.81': 15; '0.42' '0.46' '0.48' '0.44' '0.32' '0.28' '0.26' '0.28' '0.37' '0.37' '0.38' '0.43': 15; '0.46' '0.37' '0.38' '0.38' '0.45' '0.5' '0.51' '0.52' '0.55' '0.59' '0.52' '0.5': 13
NDVI_mean,41218,0.0,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan',18,0.0353,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan': 18; '0.22' '0.2' '0.12' '0.2' '0.27' '0.29' '0.26' '0.33' '0.34' '0.24' '0.25' '0.26': 16; '0.62' '0.4' '0.28' '0.29' '0.31' '0.31' '0.37' '0.17' '0.41' '0.59' '0.37' '0.47': 15; '0.31' '0.29' '0.17' '0.17' '0.13' '0.16' '0.15' '0.12' '0.2' '0.27' '0.18' '0.27': 15; '0.17' '0.16' '0.21' '0.15' '0.24' '0.39' '0.31' '0.34' '0.32' '0.31' '0.29' '0.29': 13
NDVI_min,41160,0.0,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan',18,0.0353,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan': 18; '0.01' '0.01' '-0.0' '-0.03' '0.01' '0.01' '0.0' '0.06' '0.0' '0.0' '-0.01' '-0.0': 16; '0.04' '-0.0' '-0.0' '0.0' '-0.01' '-0.0' '-0.0' '-0.04' '-0.0' '0.03' '0.0' '-0.01': 15; '-0.01' '-0.02' '-0.0' '-0.0' '-0.0' '0.0' '-0.01' '-0.02' '0.01' '0.03' '-0.0' '-0.01': 15; '-0.01' '-0.0' '-0.01' '0.0' '-0.02' '0.02' '0.01' '0.05' '0.01' '-0.01' '-0.01' '0.02': 13
EVC_1km,41117,0.0,355(10%) / 162(4%) / 161(3%),36,0.0705,355(10%) / 162(4%) / 161(3%): 36; 355(14%) / 171(5%) / 170(4%): 21; 355(9%) / 25(6%) / 364(5%): 18; 355(11%) / 25(7%) / 22(4%): 18; 25(14%) / 355(8%) / 22(4%): 17
FIRE_NAME,37488,0.143,GRASS FIRE,3515,6.8877,GRASS FIRE: 3515; BRUSH FIRE: 279; UNKNOWN: 157; GRASS FIRE : 145; GRASS: 142
FRG_1km,11435,0.0,2(100%),3253,6.3743,2(100%): 3253; 1(100%): 1160; 2(100%) / 1(0%): 893; 1(100%) / 111(0%): 577; 1(100%) / 2(0%): 537
DISCOVERY_DATE,2345,0.0,2017-01-30,150,0.2939,2017-01-30: 150; 2015-02-14: 131; 2018-07-04: 127; 2016-02-08: 126; 2017-01-31: 115
CONT_DATE,1430,89.9105,2/8/2016 0:00:00,37,0.0725,2/8/2016 0:00:00: 37; 10/18/2015 0:00:00: 28; 1/30/2017 0:00:00: 26; 1/31/2017 0:00:00: 24; 10/17/2015 0:00:00: 24
FIRE_CODE,614,98.4912,D1CZ,104,0.2038,D1CZ: 104; EK28: 31; J12X: 15; J0WR: 5; EKV2: 3
ICS_209_PLUS_INCIDENT_JOIN_ID,442,99.1241,2018_9058300_ARCHER CITY COMPLEX,6,0.0118,2018_9058300_ARCHER CITY COMPLEX: 6; 2014_283614_MOODY: 1; 2018_9214716_TRICO: 1; 2018_9025438_FOLLEY PARK: 1; 2018_9024749_412: 1
COUNTY,288,0.5114,Upshur,1438,2.8178,Upshur: 1438; McLennan: 1354; Tarrant: 1353; Hill: 1323; Dallas: 1166
LatLong_County,261,0.0294,Upshur,1440,2.8217,Upshur: 1440; McLennan: 1355; Tarrant: 1353; Hill: 1322; Dallas: 1166
FIPS_NAME,251,0.5114,Upshur County,1438,2.8178,Upshur County: 1438; McLennan County: 1354; Tarrant County: 1353; Hill County: 1323; Dallas County: 1166
MTBS_ID,159,99.6826,TX3546810163520161230,3,0.0059,TX3546810163520161230: 3; TX3022610256120200301: 2; TX3231010029020140306: 1; TX3096410129920180702: 1; TX3464410105120180510: 1
MTBS_FIRE_NAME,157,99.6826,136-2,3,0.0059,136-2: 3; CHANNING: 2; ROCKING CHAIR RANCH: 2; LONGFELLOW NINE MILE COMPLEX: 2; 173: 1
Ecoregion_US_L4CODE,56,0.0196,35a,8452,16.5618,35a: 8452; 32a: 6909; 33b: 3904; 29c: 2787; 29d: 2474
SOURCE_REPORTING_UNIT_NAME,46,0.0,Texas Forest Service,36304,71.1383,Texas Forest Service: 36304; Local Fire Department: 13777; National Forests And Grasslands In Texas: 204; Texas A & M Forest Service: 168; LWR RIO GRANDE VLY NWR: 88
SOURCE_REPORTING_UNIT,39,0.0,TXPRI,32003,62.7104,TXPRI: 32003; TXLFDX: 13777; TXTXS: 4469; 0813: 209; TXLAP: 133
NWCG_REPORTING_UNIT_NAME,33,0.0,Texas A & M Forest Service,50249,98.4637,Texas A & M Forest Service: 50249; National Forests And Grasslands In Texas: 222; Lake Meredith National Recreation Area: 133; Lower Rio Grande Valley National Wildlife Refuge: 88; McFaddin National Wildlife Refuge: 56
NWCG_REPORTING_UNIT_ID,33,0.0,USTXTXS,50249,98.4637,USTXTXS: 50249; USTXTXF: 222; USTXLAP: 133; USTXRGR: 88; USTXMCR: 56
Des_Tp,30,0.0039,UNK,50016,98.0072,UNK: 50016; NF: 199; NWR: 198; REC: 136; LP: 109
TPI_1km,26,0.0,-0.0,34800,68.1912,-0.0: 34800; 0.01: 8005; -0.01: 6435; 0.02: 870; -0.02: 555
ExoticAnnualGrass,23,33.0022,0.0,29298,57.4099,0.0: 29298; 255.0: 3980; 1.0: 136; 7.0: 128; 4.0: 123
NAME,21,0.0196,Northern Post Oak Savanna and Blackland Prairie,9476,18.5684,Northern Post Oak Savanna and Blackland Prairie: 9476; North Texas Tertiary Uplands: 8605; Cross Timbers and Limestone Cut Plain: 8588; Southern Post Oak Savanna and Blackland/Fayette Prairie: 4826; Broken Red Plains and Red Prairie: 3870
CheatGrass,20,33.0022,0.0,29449,57.7058,0.0: 29449; 255.0: 3980; 1.0: 161; 4.0: 133; 3.0: 126
Mang_Name,20,0.0039,UNK,50019,98.0131,UNK: 50019; USFS: 231; FWS: 207; USACE: 137; CITY: 132
