Column,Data Type,Unique Values,Missing %,Is Constant,Is Near Constant,Dominant Value,Dominant Fraction,Is Duplicate Column,Zero Variance,All Zeros,High Cardinality,Infinite Value Count,Unexpected Negative Count,Quality Flags,Quality Score
FOD_ID,int64,51033,0.0,False,False,300088688,0.0,False,False,False,False,0,0,PASS,PASS
FPA_ID,object,51033,0.0,False,False,SFO-2014TXTXS1873,0.0,False,False,False,True,0,0,HIGH_CARD(51033),REVIEW
SOURCE_SYSTEM_TYPE,object,3,0.0,False,True,NONFED,0.9813,False,False,False,False,0,0,NEAR_CONSTANT(98.1%),REVIEW
SOURCE_SYSTEM,object,6,0.0,False,True,ST-NASF,0.9813,False,False,False,False,0,0,NEAR_CONSTANT(98.1%),REVIEW
NWCG_REPORTING_AGENCY,object,6,0.0,False,True,ST/C&L,0.9847,False,False,False,False,0,0,NEAR_CONSTANT(98.5%),REVIEW
NWCG_REPORTING_UNIT_ID,object,33,0.0,False,True,USTXTXS,0.9846,False,False,False,False,0,0,NEAR_CONSTANT(98.5%),REVIEW
NWCG_REPORTING_UNIT_NAME,object,33,0.0,False,True,Texas A & M Forest Service,0.9846,False,False,False,False,0,0,NEAR_CONSTANT(98.5%),REVIEW
SOURCE_REPORTING_UNIT,object,39,0.0,False,False,TXPRI,0.6271,False,False,False,False,0,0,PASS,PASS
SOURCE_REPORTING_UNIT_NAME,object,46,0.0,False,False,Texas Forest Service,0.7114,False,False,False,False,0,0,PASS,PASS
LOCAL_FIRE_REPORT_ID,float64,284,99.1202,False,False,2.0,0.02,False,False,False,False,0,0,PASS,PASS
LOCAL_INCIDENT_ID,object,50072,1.3031,False,False,03,0.0002,False,False,False,True,0,0,HIGH_CARD(50072),REVIEW
FIRE_CODE,object,614,98.4912,False,False,D1CZ,0.1351,False,False,False,True,0,0,HIGH_CARD(614),REVIEW
FIRE_NAME,object,37488,0.143,False,False,GRASS FIRE,0.069,False,False,False,True,0,0,HIGH_CARD(37488),REVIEW
ICS_209_PLUS_INCIDENT_JOIN_ID,object,442,99.1241,False,False,2018_9058300_ARCHER CITY COMPLEX,0.0134,False,False,False,True,0,0,HIGH_CARD(442),REVIEW
ICS_209_PLUS_COMPLEX_JOIN_ID,object,10,99.9667,False,False,2018_9058300_ARCHER CITY COMPLEX,0.3529,False,False,False,False,0,0,PASS,PASS
MTBS_ID,object,159,99.6826,False,False,TX3546810163520161230,0.0185,False,False,False,True,0,0,HIGH_CARD(159),REVIEW
MTBS_FIRE_NAME,object,157,99.6826,False,False,136-2,0.0185,False,False,False,True,0,0,HIGH_CARD(157),REVIEW
COMPLEX_NAME,object,18,99.9491,False,False,ARCHER CITY COMPLEX,0.2308,False,False,False,False,0,0,PASS,PASS
FIRE_YEAR,int64,7,0.0,False,False,2017,0.1748,True,False,False,False,0,0,DUPLICATE,REVIEW
DISCOVERY_DATE,object,2345,0.0,False,False,2017-01-30,0.0029,False,False,False,True,0,0,HIGH_CARD(2345),REVIEW
DISCOVERY_DOY,int64,366,0.0,False,False,185,0.01,False,False,False,False,0,0,PASS,PASS
