Feature A,Feature B,Correlation,Abs Corr
FIRE_YEAR,source_year,1.0,1.0
M_WTR,WDLI,1.0,1.0
LHE,M_WKFC_105,1.0,1.0
WD_ET,M_WTR_EOMI,1.0,1.0
SM_C,SM_PFS,1.0,1.0
Medusahead,PoaSecunda,0.999997,0.999997
RPL_THEMES,RPL_THEME1,0.999992,0.999992
RPL_THEMES,RPL_THEME4,0.999982,0.999982
CheatGrass,ExoticAnnualGrass,0.99998,0.99998
CheatGrass,Medusahead,0.999969,0.999969
CheatGrass,PoaSecunda,0.999967,0.999967
EPL_POV,EPL_NOVEH,0.999964,0.999964
RPL_THEME1,RPL_THEME4,0.999963,0.999963
EPL_PCI,RPL_THEME3,0.99995,0.99995
EPL_MINRTY,EPL_LIMENG,0.999948,0.999948
EPL_SNGPNT,EPL_MINRTY,0.999933,0.999933
EPL_MINRTY,EPL_CROWD,0.999922,0.999922
ExoticAnnualGrass,Medusahead,0.999921,0.999921
DISCOVERY_DOY,CONT_DOY,0.999919,0.999919
EPL_POV,EPL_MOBILE,0.999919,0.999919
ExoticAnnualGrass,PoaSecunda,0.999913,0.999913
EPL_AGE17,EPL_SNGPNT,0.999912,0.999912
EPL_LIMENG,EPL_CROWD,0.99991,0.99991
EPL_MOBILE,EPL_NOVEH,0.999908,0.999908
EPL_AGE17,EPL_MINRTY,0.999906,0.999906
EPL_AGE17,EPL_CROWD,0.999901,0.999901
EPL_MINRTY,EPL_MUNIT,0.999899,0.999899
EPL_SNGPNT,EPL_CROWD,0.999889,0.999889
EPL_SNGPNT,EPL_LIMENG,0.999887,0.999887
EPL_SNGPNT,EPL_MUNIT,0.999882,0.999882
EPL_AGE17,EPL_LIMENG,0.999878,0.999878
CA,NCA,-0.999865,0.999865
EPL_LIMENG,EPL_MUNIT,0.999863,0.999863
EPL_MUNIT,EPL_CROWD,0.999859,0.999859
EPL_AGE17,EPL_MUNIT,0.999847,0.999847
EPL_AGE65,EPL_MUNIT,0.999778,0.999778
EPL_AGE65,EPL_CROWD,0.999777,0.999777
EPL_MINRTY,EPL_GROUPQ,0.999775,0.999775
EPL_MUNIT,EPL_GROUPQ,0.999768,0.999768
EPL_AGE65,EPL_MINRTY,0.999753,0.999753
EPL_SNGPNT,EPL_GROUPQ,0.999748,0.999748
EPL_AGE65,EPL_LIMENG,0.999745,0.999745
EPL_LIMENG,EPL_GROUPQ,0.999745,0.999745
EPL_CROWD,EPL_GROUPQ,0.99973,0.99973
EPL_AGE65,EPL_SNGPNT,0.999729,0.999729
Elevation_1km,Elevation,0.999724,0.999724
EPL_AGE65,EPL_AGE17,0.999706,0.999706
EPL_AGE65,EPL_GROUPQ,0.9997,0.9997
EPL_AGE17,EPL_GROUPQ,0.999693,0.999693
LILHSE,LISO_ET,0.998538,0.998538
EVH,EVC,0.997007,0.997007
fm1000_5D_mean,fm1000_5D_min,0.995881,0.995881
Ecoregion_NA_L2CODE,Ecoregion_NA_L1CODE,0.99555,0.99555
fm1000,fm1000_5D_mean,0.995473,0.995473
fm1000,fm1000_5D_min,0.991622,0.991622
Annual_precipitation,Aridity_index,0.988932,0.988932
fm1000_Normal,erc_Normal,-0.986058,0.986058
FPL200S,M_EBSI,0.984247,0.984247
tmmn_Normal,tmmx_Normal,0.983075,0.983075
srad_Normal,srad_5D_max,0.982176,0.982176
TRI_1km,Slope_1km,0.981466,0.981466
tmmn_Normal,sph_Normal,0.977843,0.977843
LMILHSE,LMI_ET,0.975497,0.975497
sph_5D_mean,sph_5D_min,0.975028,0.975028
srad_5D_mean,srad_5D_max,0.974891,0.974891
EPL_NOHSDP,EPL_CROWD,0.974639,0.974639
EPL_NOHSDP,EPL_LIMENG,0.97462,0.97462
EPL_NOHSDP,EPL_MINRTY,0.974619,0.974619
EPL_NOHSDP,EPL_SNGPNT,0.974602,0.974602
EPL_NOHSDP,EPL_AGE17,0.974583,0.974583
EPL_UNEMP,EPL_CROWD,0.974574,0.974574
EPL_UNEMP,EPL_SNGPNT,0.974565,0.974565
EPL_NOHSDP,EPL_MUNIT,0.974554,0.974554
EPL_UNEMP,EPL_MINRTY,0.974542,0.974542
EPL_UNEMP,EPL_LIMENG,0.974538,0.974538
EPL_UNEMP,EPL_AGE17,0.974537,0.974537
EPL_NOHSDP,EPL_AGE65,0.974532,0.974532
EPL_UNEMP,EPL_MUNIT,0.974527,0.974527
EPL_UNEMP,EPL_AGE65,0.974501,0.974501
EPL_NOHSDP,EPL_GROUPQ,0.974425,0.974425
EPL_UNEMP,EPL_GROUPQ,0.974331,0.974331
road_other_dis,Evacuation,0.972851,0.972851
FRG,SDI,0.972436,0.972436
EB_ET,M_ENY_EOMI,0.971569,0.971569
M_ENY,EBLI,0.970628,0.970628
tmmn,tmmn_5D_mean,0.968153,0.968153
erc_5D_mean,erc_5D_max,0.967957,0.967957
ALI,A_ET,0.966885,0.966885
sph,sph_5D_mean,0.965412,0.965412
ULHSE,UN_ET,0.962636,0.962636
M_WKFC,M_WKFC_103,0.962548,0.962548
pr_5D_mean,pr_5D_max,0.962484,0.962484
tmmn_5D_mean,tmmn_5D_max,0.960841,0.960841
srad_Normal,srad_5D_mean,0.959864,0.959864
fm100_Normal,erc_Normal,-0.958883,0.958883
fm100,fm100_5D_mean,0.957823,0.957823
srad,srad_5D_mean,0.957203,0.957203
fm1000_5D_min,erc_5D_max,-0.956337,0.956337
tmmx_5D_mean,tmmx_5D_max,0.955231,0.955231
TC,CC,0.953656,0.953656
fm100_5D_mean,fm100_5D_min,0.953602,0.953602
vpd_5D_mean,vpd_5D_max,0.950238,0.950238
EPL_UNEMP,EPL_NOHSDP,0.949921,0.949921
fm1000_5D_mean,erc_5D_max,-0.948394,0.948394
tmmx_Normal,sph_Normal,0.947036,0.947036
PLHSE,POV_ET,0.946862,0.946862
fm1000,erc_5D_max,-0.946104,0.946104
tmmn_Normal,tmmn_5D_mean,0.944725,0.944725
tmmn_5D_mean,tmmx_5D_mean,0.942913,0.942913
erc,erc_5D_mean,0.942335,0.942335
fm100_Normal,fm1000_Normal,0.942191,0.942191
sph,sph_5D_min,0.940641,0.940641
srad,srad_5D_max,0.940465,0.940465
etr_5D_mean,etr_5D_max,0.937065,0.937065
tmmx,tmmx_5D_mean,0.93596,0.93596
tmmn_5D_mean,sph_5D_mean,0.932244,0.932244
LLELI,LLE_ET,0.932021,0.932021
fm1000_5D_mean,erc_5D_mean,-0.930279,0.930279
tmmx_Normal,tmmn_5D_mean,0.929428,0.929428
No_FireStation_10.0km,No_FireStation_20.0km,0.929158,0.929158
erc_5D_mean,fm1000_5D_min,-0.928059,0.928059
tmmx_Normal,tmmx_5D_mean,0.927618,0.927618
bi_Normal,erc_Normal,0.927227,0.927227
fm1000,erc_5D_mean,-0.925023,0.925023
DLI,DB_ET,0.924211,0.924211
fm100_5D_mean,erc_5D_mean,-0.923933,0.923933
srad_Normal,srad,0.923392,0.923392
sph_Normal,tmmn_5D_mean,0.923329,0.923329
vpd,vpd_5D_mean,0.920927,0.920927
sph_Normal,sph_5D_mean,0.91925,0.91925
tmmn,tmmn_5D_max,0.918498,0.918498
etr_5D_mean,vpd_5D_mean,0.918316,0.918316
M_TRN,TPLI,0.916843,0.916843
RPL_THEME2,RPL_THEME3,0.915712,0.915712
tmmx_Normal,vpd_Normal,0.915233,0.915233
fm100,fm100_5D_min,0.914095,0.914095
rmin_Normal,erc_Normal,-0.913318,0.913318
EPL_UNEMP,EPL_DISABL,0.912804,0.912804
tmmn,tmmx_5D_mean,0.912273,0.912273
erc,erc_5D_max,0.912054,0.912054
HBLI,HB_ET,0.911864,0.911864
tmmx_Normal,srad_Normal,0.91113,0.91113
fm100_5D_min,erc_5D_max,-0.91025,0.91025
tmmx_Normal,srad_5D_max,0.909679,0.909679
TP_ET,M_TRN_EOMI,0.908935,0.908935
etr,etr_5D_mean,0.907823,0.907823
tmmn_Normal,tmmx_5D_mean,0.907098,0.907098
tmmn,sph,0.906297,0.906297
EPL_PCI,RPL_THEME2,0.906245,0.906245
tmmn_5D_mean,sph_5D_min,0.905941,0.905941
RPL_THEME1,EPL_POV,0.905863,0.905863
RPL_THEME1,EPL_MOBILE,0.905862,0.905862
RPL_THEMES,EPL_MOBILE,0.90586,0.90586
RPL_THEME4,EPL_MOBILE,0.905858,0.905858
RPL_THEMES,EPL_POV,0.905858,0.905858
EPL_POV,RPL_THEME4,0.905832,0.905832
RPL_THEMES,EPL_NOVEH,0.905813,0.905813
RPL_THEME4,EPL_NOVEH,0.905808,0.905808
RPL_THEME1,EPL_NOVEH,0.905806,0.905806
TRI,Slope,0.904311,0.904311
tmmn_Normal,tmmn_5D_max,0.903918,0.903918
tmmn,sph_5D_mean,0.903439,0.903439
tmmn_Normal,tmmn,0.903267,0.903267
tmmx,tmmx_5D_max,0.902867,0.902867
M_HSG,M_HSG_EOMI,0.901159,0.901159
tmmn,tmmx,0.900328,0.900328
