Feature A,Feature B,Correlation,Abs Corr
LHE,M_WKFC_105,1.0,1.0
LOCAL_FIRE_REPORT_ID,road_state_dis,1.0,1.0
FIRE_YEAR,source_year,1.0,1.0
DISCOVERY_TIME,road_interstate_dis,-1.0,1.0
SM_C,SM_PFS,1.0,1.0
WD_ET,M_WTR_EOMI,1.0,1.0
M_WTR,WDLI,1.0,1.0
DISCOVERY_DOY,CONT_DOY,0.999876,0.999876
CA,NCA,-0.999866,0.999866
Elevation_1km,Elevation,0.998684,0.998684
LILHSE,LISO_ET,0.998349,0.998349
pr_5D_mean,pr_5D_max,0.998026,0.998026
TC,CC,0.995899,0.995899
fm1000,fm1000_5D_mean,0.995771,0.995771
fm1000_5D_mean,fm1000_5D_min,0.99556,0.99556
EVH,EVC,0.992553,0.992553
Annual_precipitation,Aridity_index,0.992298,0.992298
fm1000,fm1000_5D_min,0.991801,0.991801
TRI_1km,Slope_1km,0.990512,0.990512
fm1000_Normal,erc_Normal,-0.988712,0.988712
CheatGrass,ExoticAnnualGrass,0.988684,0.988684
FOD_ID,FIRE_YEAR,0.986662,0.986662
FOD_ID,source_year,0.986662,0.986662
FPL200S,M_EBSI,0.984089,0.984089
CheatGrass,Medusahead,0.978239,0.978239
SM_PFS,CC,0.977901,0.977901
SM_C,CC,0.977901,0.977901
SM_PFS,TC,0.976717,0.976717
SM_C,TC,0.976717,0.976717
LMILHSE,LMI_ET,0.975406,0.975406
tmmn_Normal,sph_Normal,0.974296,0.974296
srad_Normal,srad_5D_max,0.974108,0.974108
sph_5D_mean,sph_5D_min,0.973659,0.973659
tmmn_Normal,tmmx_Normal,0.973164,0.973164
srad_5D_mean,srad_5D_max,0.972751,0.972751
EB_ET,M_ENY_EOMI,0.972593,0.972593
M_ENY,EBLI,0.972448,0.972448
tmmn,tmmn_5D_mean,0.971808,0.971808
tmmn_5D_mean,tmmn_5D_max,0.971028,0.971028
ExoticAnnualGrass,Medusahead,0.96927,0.96927
Medusahead,PoaSecunda,0.964708,0.964708
tmmx_5D_mean,tmmx_5D_max,0.96302,0.96302
ULHSE,UN_ET,0.962867,0.962867
erc_5D_mean,erc_5D_max,0.962335,0.962335
M_WKFC,M_WKFC_103,0.961992,0.961992
sph,sph_5D_mean,0.961848,0.961848
CheatGrass,PoaSecunda,0.961636,0.961636
ExoticAnnualGrass,PoaSecunda,0.960963,0.960963
fm1000_5D_min,erc_5D_max,-0.960035,0.960035
srad,srad_5D_mean,0.959919,0.959919
fm100,fm100_5D_mean,0.956531,0.956531
ALI,A_ET,0.955989,0.955989
srad_Normal,srad_5D_mean,0.9543,0.9543
tmmx,tmmx_5D_mean,0.954117,0.954117
fm1000_5D_mean,erc_5D_max,-0.951689,0.951689
tmmx_Normal,vpd_Normal,0.951536,0.951536
TRI_1km,Aspect_1km,0.95028,0.95028
fm1000,erc_5D_max,-0.950234,0.950234
fm100_5D_mean,fm100_5D_min,0.949695,0.949695
srad,srad_5D_max,0.945475,0.945475
PLHSE,POV_ET,0.945052,0.945052
vpd_5D_mean,vpd_5D_max,0.944633,0.944633
tmmn_Normal,tmmn_5D_mean,0.9428,0.9428
fm100_Normal,erc_Normal,-0.942631,0.942631
etr_5D_mean,etr_5D_max,0.9388,0.9388
tmmn_5D_mean,sph_5D_mean,0.938552,0.938552
tmmn,tmmn_5D_max,0.938213,0.938213
sph,sph_5D_min,0.936854,0.936854
Ecoregion_NA_L2CODE,Ecoregion_NA_L1CODE,0.936364,0.936364
tmmn_5D_mean,tmmx_5D_mean,0.93609,0.93609
etr_5D_mean,vpd_5D_mean,0.934876,0.934876
tmmx_Normal,tmmx_5D_mean,0.93304,0.93304
LLELI,LLE_ET,0.932589,0.932589
tmmx,tmmx_5D_max,0.932146,0.932146
tmmn_5D_mean,sph_5D_min,0.931747,0.931747
fm1000_5D_mean,erc_5D_mean,-0.931174,0.931174
erc,erc_5D_mean,0.931032,0.931032
tmmx_Normal,sph_Normal,0.930692,0.930692
bi_Normal,erc_Normal,0.928243,0.928243
erc_5D_mean,fm1000_5D_min,-0.927962,0.927962
DLI,DB_ET,0.926256,0.926256
fm1000,erc_5D_mean,-0.92599,0.92599
Aspect_1km,Slope_1km,0.925177,0.925177
srad_Normal,srad,0.924156,0.924156
sph_Normal,tmmn_5D_mean,0.922936,0.922936
tmmn_Normal,tmmn_5D_max,0.92179,0.92179
fm100_5D_mean,erc_5D_mean,-0.921585,0.921585
fm100_Normal,fm1000_Normal,0.920544,0.920544
tmmx_Normal,tmmn_5D_mean,0.920342,0.920342
sph_5D_mean,tmmn_5D_max,0.916779,0.916779
RPL_THEME3,EPL_LIMENG,0.915869,0.915869
rmin_Normal,erc_Normal,-0.915166,0.915166
fm100,fm100_5D_min,0.914069,0.914069
sph_Normal,sph_5D_mean,0.913746,0.913746
