Column,Missing Count,Missing %,Present Count,Present %,Tier
GACC_Fire Use Teams,51033,100.0,0,0.0,Critical (≥90.0%)
IALMIL_87,51033,100.0,0,0.0,Critical (≥90.0%)
geometry,51033,100.0,0,0.0,Critical (≥90.0%)
IAPLHS_88,51033,100.0,0,0.0,Critical (≥90.0%)
IAULHS_89,51033,100.0,0,0.0,Critical (≥90.0%)
IAHSEF,51033,100.0,0,0.0,Critical (≥90.0%)
ICS_209_PLUS_COMPLEX_JOIN_ID,51016,99.9667,17,0.0333,Critical (≥90.0%)
COMPLEX_NAME,51007,99.9491,26,0.0509,Critical (≥90.0%)
road_interstate_dis,50994,99.9236,39,0.0764,Critical (≥90.0%)
road_US_dis,50922,99.7825,111,0.2175,Critical (≥90.0%)
MTBS_ID,50871,99.6826,162,0.3174,Critical (≥90.0%)
MTBS_FIRE_NAME,50871,99.6826,162,0.3174,Critical (≥90.0%)
road_other_dis,50772,99.4886,261,0.5114,Critical (≥90.0%)
NWCG_CAUSE_AGE_CATEGORY,50733,99.4121,300,0.5879,Critical (≥90.0%)
ICS_209_PLUS_INCIDENT_JOIN_ID,50586,99.1241,447,0.8759,Critical (≥90.0%)
LOCAL_FIRE_REPORT_ID,50584,99.1202,449,0.8798,Critical (≥90.0%)
road_state_dis,50270,98.5049,763,1.4951,Critical (≥90.0%)
Evacuation,50266,98.4971,767,1.5029,Critical (≥90.0%)
FIRE_CODE,50263,98.4912,770,1.5088,Critical (≥90.0%)
road_county_dis,50074,98.1208,959,1.8792,Critical (≥90.0%)
No_FireStation_1.0km,46201,90.5316,4832,9.4684,Critical (≥90.0%)
CONT_TIME,46069,90.273,4964,9.727,Critical (≥90.0%)
DISCOVERY_TIME,45962,90.0633,5071,9.9367,Critical (≥90.0%)
CONT_DATE,45884,89.9105,5149,10.0895,High (≥75.0%)
CONT_DOY,45884,89.9105,5149,10.0895,High (≥75.0%)
No_FireStation_5.0km,19032,37.2935,32001,62.7065,Low (≥25.0%)
road_common_name_dis,17200,33.7037,33833,66.2963,Low (≥25.0%)
ExoticAnnualGrass,16842,33.0022,34191,66.9978,Low (≥25.0%)
PoaSecunda,16842,33.0022,34191,66.9978,Low (≥25.0%)
Medusahead,16842,33.0022,34191,66.9978,Low (≥25.0%)
CheatGrass,16842,33.0022,34191,66.9978,Low (≥25.0%)
WF_PFS,5191,10.1718,45842,89.8282,Minimal (<25%)
TF_PFS,4295,8.4161,46738,91.5839,Minimal (<25%)
EPL_PCI,2708,5.3064,48325,94.6936,Minimal (<25%)
fm1000_Normal,2575,5.0458,48458,94.9542,Minimal (<25%)
rmin_Normal,2575,5.0458,48458,94.9542,Minimal (<25%)
rmax_Normal,2575,5.0458,48458,94.9542,Minimal (<25%)
LLEF_PFS,2539,4.9752,48494,95.0248,Minimal (<25%)
No_FireStation_10.0km,2140,4.1934,48893,95.8066,Minimal (<25%)
NDVI-1day,947,1.8557,50086,98.1443,Minimal (<25%)
LOCAL_INCIDENT_ID,665,1.3031,50368,98.6969,Minimal (<25%)
MHVF_PFS,276,0.5408,50757,99.4592,Minimal (<25%)
FIPS_CODE,261,0.5114,50772,99.4886,Minimal (<25%)
FIPS_NAME,261,0.5114,50772,99.4886,Minimal (<25%)
COUNTY,261,0.5114,50772,99.4886,Minimal (<25%)
GACC_Area Command Teams,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_NIMO Teams,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_Type 2 IMTs,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_Type 1 IMTs,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_Uncont LF,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_New LF,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_PL,185,0.3625,50848,99.6375,Minimal (<25%)
GACCAbbrev,185,0.3625,50848,99.6375,Minimal (<25%)
GACC_New fire,185,0.3625,50848,99.6375,Minimal (<25%)
LMI_PFS,99,0.194,50934,99.806,Minimal (<25%)
No_FireStation_20.0km,98,0.192,50935,99.808,Minimal (<25%)
FIRE_NAME,73,0.143,50960,99.857,Minimal (<25%)
HBF_PFS,65,0.1274,50968,99.8726,Minimal (<25%)
vs_Percentile,57,0.1117,50976,99.8883,Minimal (<25%)
LIF_PFS,50,0.098,50983,99.902,Minimal (<25%)
P100_PFS,50,0.098,50983,99.902,Minimal (<25%)
P200_PFS,50,0.098,50983,99.902,Minimal (<25%)
EBF_PFS,49,0.096,50984,99.904,Minimal (<25%)
HDF_PFS,39,0.0764,50994,99.9236,Minimal (<25%)
AF_PFS,39,0.0764,50994,99.9236,Minimal (<25%)
