========================================================================
  California Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 50,881
  Columns        : 310
  Large fires    : 965  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,916  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  ---------------------------------------------  ------------  --------  --------  -------
  FOD_ID                                         int64           50,881         0     0.0%
  FPA_ID                                         object          50,881         0     0.0%
  SOURCE_SYSTEM_TYPE                             object               3         0     0.0%
  SOURCE_SYSTEM                                  object               7         0     0.0%
  NWCG_REPORTING_AGENCY                          object               8         0     0.0%
  NWCG_REPORTING_UNIT_ID                         object             122         0     0.0%
  NWCG_REPORTING_UNIT_NAME                       object             122         0     0.0%
  SOURCE_REPORTING_UNIT                          object             142         0     0.0%
  SOURCE_REPORTING_UNIT_NAME                     object             160         0     0.0%
  LOCAL_FIRE_REPORT_ID                           float64          3,418    38,475    75.6%
  LOCAL_INCIDENT_ID                              object          40,011     4,556     9.0%
  FIRE_CODE                                      object           7,704    39,024    76.7%
  FIRE_NAME                                      object          17,713    15,444    30.4%
  ICS_209_PLUS_INCIDENT_JOIN_ID                  object             603    50,132    98.5%
  ICS_209_PLUS_COMPLEX_JOIN_ID                   object              33    50,662    99.6%
  MTBS_ID                                        object             290    50,578    99.4%
  MTBS_FIRE_NAME                                 object             267    50,578    99.4%
  COMPLEX_NAME                                   object              35    50,657    99.6%
  FIRE_YEAR                                      int64                7         0     0.0%
  DISCOVERY_DATE                                 object           2,320         0     0.0%
  DISCOVERY_DOY                                  int64              366         0     0.0%
  DISCOVERY_TIME                                 float64          1,441       574     1.1%
  NWCG_CAUSE_CLASSIFICATION                      object               3         0     0.0%
  NWCG_GENERAL_CAUSE                             object              13         0     0.0%
  NWCG_CAUSE_AGE_CATEGORY                        object               2    49,703    97.7%
  CONT_DATE                                      object           2,143    20,472    40.2%
  CONT_DOY                                       float64            367    20,472    40.2%
  CONT_TIME                                      float64          1,438    20,791    40.9%
  FIRE_SIZE                                      float64          1,571         0     0.0%
  FIRE_SIZE_CLASS                                object               7         0     0.0%
  LATITUDE                                       float64         42,005         0     0.0%
  LONGITUDE                                      float64         41,988         0     0.0%
  OWNER_DESCR                                    object              16         0     0.0%
  STATE                                          object               1         0     0.0%
  COUNTY                                         object             178     4,599     9.0%
  FIPS_CODE                                      float64             59     4,599     9.0%
  FIPS_NAME                                      object              59     4,599     9.0%
  LatLong_State                                  object               5        44     0.1%
  LatLong_County                                 object              67        44     0.1%
  NPL                                            float64              5         0     0.0%
  Mang_Type                                      object              10         1     0.0%
  Mang_Name                                      object              26         1     0.0%
  Des_Tp                                         object              49         1     0.0%
  GAP_Sts                                        float64              5         1     0.0%
  GAP_Prity                                      float64              6         1     0.0%
  EVH                                            float64             96         0     0.0%
  EVT                                            float64            157         0     0.0%
  EVH_1km                                        object          40,186         0     0.0%
  EVT_1km                                        object          41,996         0     0.0%
  EVC                                            float64            214         0     0.0%
  EVC_1km                                        object          39,786         0     0.0%
  NAME                                           object              19        68     0.1%
  MOD_NDVI_12m                                   object          38,769         0     0.0%
  MOD_EVI_12m                                    object          38,758         0     0.0%
  Land_Cover                                     float64             16         0     0.0%
  Land_Cover_1km                                 object          39,929         0     0.0%
  rpms                                           float64          3,734         0     0.0%
