feature,cohens_d,mwu_pvalue
fm100,0.4665967133733232,6.356382121029732e-43
TRI,0.4539382290010964,9.93321451419004e-56
Slope,0.4462382307261254,2.5957295881867593e-53
erc,0.43044362796559027,7.959133036308769e-35
rmin,0.42587369194267394,6.4167925438758196e-37
vpd,0.42166574360439146,5.665001626836843e-40
tmmx,0.3553276771120342,5.406326042865534e-27
Elevation,0.29704793134246155,7.060672561169803e-36
bi,0.27204065091079277,1.4631348214160246e-25
srad,0.24403994049203065,2.0527093202949372e-07
vs,0.0786596025832036,0.12212776106685425
GHM,0.026729390164673683,9.091342901694337e-113
