column,dtype,null_count,null_pct,unique_count
IAPLHS_88,float64,50881,100.0,1
IAHSEF,float64,50881,100.0,1
IALMIL_87,float64,50881,100.0,1
IAULHS_89,float64,50881,100.0,1
GACC_Fire Use Teams,float64,50881,100.0,1
geometry,float64,50881,100.0,1
road_interstate_dis,float64,50840,99.92,38
road_US_dis,float64,50758,99.76,102
ICS_209_PLUS_COMPLEX_JOIN_ID,object,50662,99.57,33
COMPLEX_NAME,object,50657,99.56,35
MTBS_ID,object,50578,99.4,290
MTBS_FIRE_NAME,object,50578,99.4,267
road_other_dis,float64,50536,99.32,216
road_state_dis,float64,50188,98.64,240
ICS_209_PLUS_INCIDENT_JOIN_ID,object,50132,98.53,603
road_county_dis,float64,50042,98.35,282
NWCG_CAUSE_AGE_CATEGORY,object,49703,97.68,2
Evacuation,float64,45352,89.13,5
No_FireStation_1.0km,float64,42760,84.04,5
FIRE_CODE,object,39024,76.7,7704
LOCAL_FIRE_REPORT_ID,float64,38475,75.62,3418
WF_PFS,float64,23558,46.3,101
CONT_TIME,float64,20791,40.86,1438
CONT_DOY,float64,20472,40.24,367
CONT_DATE,object,20472,40.24,2143
road_common_name_dis,float64,17820,35.02,626
FIRE_NAME,object,15444,30.35,17713
CheatGrass,float64,13847,27.21,44
ExoticAnnualGrass,float64,13847,27.21,52
Medusahead,float64,13847,27.21,28
PoaSecunda,float64,13847,27.21,21
No_FireStation_5.0km,float64,12076,23.73,41
COUNTY,object,4599,9.04,178
FIPS_CODE,float64,4599,9.04,59
FIPS_NAME,object,4599,9.04,59
LOCAL_INCIDENT_ID,object,4556,8.95,40011
TF_PFS,float64,4410,8.67,101
EPL_PCI,float64,3716,7.3,4957
LLEF_PFS,float64,3006,5.91,101
LMI_PFS,float64,2964,5.83,101
No_FireStation_10.0km,float64,2434,4.78,121
NDVI-1day,float64,1186,2.33,114
rmin_Normal,float64,806,1.58,604
fm1000_Normal,float64,806,1.58,256
rmax_Normal,float64,806,1.58,677
DISCOVERY_TIME,float64,574,1.13,1441
MHVF_PFS,float64,289,0.57,100
No_FireStation_20.0km,float64,178,0.35,390
vs_Percentile,object,112,0.22,7
GACCAbbrev,object,100,0.2,11
GACC_Area Command Teams,float64,100,0.2,4
GACC_NIMO Teams,float64,100,0.2,5
GACC_Type 2 IMTs,float64,100,0.2,14
GACC_Type 1 IMTs,float64,100,0.2,9
GACC_Uncont LF,float64,100,0.2,37
GACC_New LF,float64,100,0.2,41
GACC_PL,float64,100,0.2,6
GACC_New fire,float64,100,0.2,236
Ecoregion_NA_L1CODE,float64,68,0.13,5
NAME,object,68,0.13,19
Ecoregion_NA_L2CODE,float64,68,0.13,6
Ecoregion_NA_L3CODE,object,68,0.13,13
Ecoregion_US_L3CODE,float64,68,0.13,14
Ecoregion_US_L4CODE,object,68,0.13,174
vpd_Percentile,object,63,0.12,13
HBF_PFS,float64,58,0.11,101
TRACT,float64,44,0.09,3348
LatLong_County,object,44,0.09,67
LIF_PFS,float64,45,0.09,77
EPL_SNGPNT,float64,44,0.09,3610
RPL_THEME3,float64,44,0.09,4731
EPL_MINRTY,float64,44,0.09,4054
EPL_LIMENG,float64,44,0.09,3270
RPL_THEME4,float64,44,0.09,5632
LatLong_State,object,44,0.09,5
EBF_PFS,float64,45,0.09,56
EPL_MUNIT,float64,44,0.09,3050
EPL_MOBILE,float64,44,0.09,1184
EPL_CROWD,float64,44,0.09,3067
EPL_NOVEH,float64,44,0.09,885
EPL_GROUPQ,float64,44,0.09,2711
erc_Percentile,object,45,0.09,7
EPL_DISABL,float64,44,0.09,994
bi_Percentile,object,44,0.09,7
RPL_THEME2,float64,44,0.09,5655
RPL_THEMES,float64,44,0.09,5598
RPL_THEME1,float64,44,0.09,5674
EPL_POV,float64,44,0.09,1675
EPL_UNEMP,float64,44,0.09,868
EPL_NOHSDP,float64,44,0.09,1605
EPL_AGE17,float64,44,0.09,3771
EPL_AGE65,float64,44,0.09,1274
P100_PFS,float64,40,0.08,101
UF_PFS,float64,39,0.08,101
P200_PFS,float64,40,0.08,101
HDF_PFS,float64,34,0.07,71
AF_PFS,float64,34,0.07,56
DF_PFS,float64,34,0.07,91
HSEF,float64,25,0.05,72
NCA,float64,25,0.05,66
CA,float64,25,0.05,66
DSF_PFS,float64,14,0.03,101
Popo_1km,float64,13,0.03,24451
EPLR_PFS,float64,11,0.02,100
EALR_PFS,float64,9,0.02,101
EBLR_PFS,float64,9,0.02,101
PM25F_PFS,float64,6,0.01,100
GDP,float64,3,0.01,10
fm100_Percentile,object,7,0.01,7
GHM,float64,0,0.0,101
SDI,float64,0,0.0,224
UI_EXP,object,2,0.0,2
Slope,float64,0,0.0,56
THRHLD,float64,2,0.0,2
TPI,float64,0,0.0,185
TPI_1km,float64,0,0.0,70
Slope_1km,float64,0,0.0,37993
FRG_1km,object,0,0.0,24591
Aspect,float64,0,0.0,361
TRI_1km,float64,0,0.0,21986
TRI,float64,0,0.0,2394
Aspect_1km,float64,0,0.0,40270
Elevation_1km,float64,0,0.0,45301
Elevation,float64,0,0.0,2878
FRG,float64,0,0.0,10
FOD_ID,int64,0,0.0,50881
Annual_etr,float64,0,0.0,2203
srad_5D_max,float64,0,0.0,2903
bi_5D_mean,float64,0,0.0,524
vpd_5D_mean,float64,0,0.0,552
erc_5D_mean,float64,0,0.0,546
pr_5D_min,float64,0,0.0,41
pr_5D_max,float64,0,0.0,579
tmmn_5D_max,float64,0,0.0,397
tmmx_5D_max,float64,0,0.0,438
rmin_5D_min,float64,0,0.0,676
rmax_5D_min,float64,0,0.0,892
sph_5D_min,float64,0,0.0,1276
vs_5D_max,float64,0,0.0,141
th_5D_max,float64,0,0.0,348
etr_5D_max,float64,0,0.0,221
fm100_5D_mean,float64,0,0.0,243
fm100_5D_min,float64,0,0.0,227
fm1000_5D_min,float64,0,0.0,273
bi_5D_max,float64,0,0.0,136
vpd_5D_max,float64,0,0.0,624
erc_5D_max,float64,0,0.0,115
tmmn_Percentile,object,0,0.0,1
tmmx_Percentile,object,0,0.0,1
sph_Percentile,object,0,0.0,6
NDVI_min,object,0,0.0,38690
NDVI_max,object,0,0.0,38691
NDVI_mean,object,0,0.0,38691
source_year,int64,0,0.0,7
fm1000_5D_mean,float64,0,0.0,282
etr_5D_mean,float64,0,0.0,830
Annual_precipitation,float64,0,0.0,2469
fm100,float64,0,0.0,253
Annual_tempreture,float64,0,0.0,26
Aridity_index,float64,0,0.0,227
pr,float64,0,0.0,355
tmmn,float64,0,0.0,421
tmmx,float64,0,0.0,458
rmin,float64,0,0.0,841
rmax,float64,0,0.0,871
sph,float64,0,0.0,1417
vs,float64,0,0.0,135
th,float64,0,0.0,361
srad,float64,0,0.0,3284
etr,float64,0,0.0,214
fm1000,float64,0,0.0,284
srad_5D_mean,float64,0,0.0,18684
bi,float64,0,0.0,127
vpd,float64,0,0.0,579
erc,float64,0,0.0,114
pr_5D_mean,float64,0,0.0,758
tmmn_5D_mean,float64,0,0.0,3339
tmmx_5D_mean,float64,0,0.0,3832
M_WKFC_105,float64,2,0.0,3
rmin_5D_mean,float64,0,0.0,763
rmax_5D_mean,float64,0,0.0,832
sph_5D_mean,float64,0,0.0,9894
vs_5D_mean,float64,0,0.0,455
th_5D_mean,float64,0,0.0,1627
M_EBSI,float64,2,0.0,3
LLE_ET,float64,2,0.0,3
FPL200S,float64,2,0.0,3
vpd_Normal,float64,0,0.0,461
MOD_EVI_12m,object,0,0.0,38758
Land_Cover,float64,0,0.0,16
Land_Cover_1km,object,0,0.0,39929
rpms,float64,0,0.0,3734
rpms_1km,float64,0,0.0,46607
