,count,mean,std,min,5%,25%,50%,75%,95%,max
FOD_ID,50881.0,373055747.66661423,44546006.24619463,300000278.0,300083816.0,300320721.0,400126783.0,400383425.0,400589734.0,400638266.0
LOCAL_FIRE_REPORT_ID,12406.0,70901.4951636305,182249.2482645115,1.0,6.0,28.0,68.0,734.5,555886.75,600489.0
FIRE_YEAR,50881.0,2016.8299168648414,1.787799874505039,2014.0,2014.0,2015.0,2017.0,2018.0,2020.0,2020.0
DISCOVERY_DOY,50881.0,192.1642459857314,71.69816493658075,1.0,56.0,150.0,190.0,242.0,310.0,366.0
DISCOVERY_TIME,50307.0,1390.6068737948992,533.9525212579481,0.0,248.0,1115.0,1440.0,1746.0,2200.699999999997,2359.0
CONT_DOY,30409.0,196.54605544411194,70.23328983441701,1.0,65.0,155.0,197.0,244.0,311.0,366.0
CONT_TIME,30090.0,1448.9952143569292,535.7342061719563,0.0,259.0,1200.0,1522.0,1826.0,2210.0,2359.0
FIRE_SIZE,50881.0,102.82049979363615,3181.4361454902137,0.01,0.01,0.1,0.1,1.0,12.0,410203.0
LATITUDE,50881.0,37.252571741066404,2.4751176194872477,32.552705,33.57015,34.879371,37.403866,39.052768,41.2402,42.4175
LONGITUDE,50881.0,-120.18462576961184,2.0787395417709376,-124.3993,-123.45138889,-121.668429,-120.56138889,-118.633333,-116.746979,-114.13751147
FIPS_CODE,46282.0,6056.50646039497,29.812077005113675,6001.0,6007.0,6033.0,6061.0,6077.0,6105.0,6115.0
NPL,50881.0,2.199052691574458,1.209452374417999,1.0,1.0,1.0,2.0,3.0,5.0,5.0
GAP_Sts,50880.0,3.739170597484277,0.6359873452235779,1.0,2.0,4.0,4.0,4.0,4.0,4.0
GAP_Prity,50880.0,1.6677869496855346,3.043496474084016,0.0,0.0,0.0,0.0,0.0,8.0,9.0
EVH,50881.0,69.96886853638883,82.7240873049414,11.0,22.0,25.0,25.0,115.0,303.0,308.0
EVT,50881.0,7425.165641398557,530.7662936642274,7008.0,7028.0,7299.0,7299.0,7299.0,9153.0,9829.0
EVC,50881.0,77.1337630942788,94.78433995546753,11.0,22.0,25.0,25.0,132.0,334.0,392.0
Land_Cover,50881.0,33.40052278846721,17.526028905376588,0.0,21.0,22.0,23.0,42.0,71.0,95.0
rpms,50881.0,518.7346750260411,1109.9885225916694,0.0,0.0,0.0,0.0,482.0,3313.0,5565.0
rpms_1km,50881.0,507.0636260061366,539.638707592215,0.0,3.7883225208526414,77.92775073028237,314.6027149321267,771.2650602409639,1645.983873957368,3324.151674208145
Population,50881.0,-292.6132208014779,5439.815496434454,-99999.0,0.0,0.0,0.1263,2.1708,24.021,396.4778
Popo_1km,50868.0,4.312465677832822,7.936653567866312,0.0,0.0,0.0183,0.4004,5.1822,20.593924999999984,117.625
GACC_PL,50781.0,2.3645654870916286,1.014815410698862,1.0,1.0,2.0,2.0,3.0,4.0,5.0
GACC_New fire,50781.0,63.38799944861267,133.87707707220488,0.0,3.0,13.0,22.0,41.0,336.0,1144.0
GACC_New LF,50781.0,1.6338197357279298,4.644421959347397,0.0,0.0,0.0,0.0,1.0,8.0,79.0
GACC_Uncont LF,50781.0,2.639038222957405,3.7949292742642995,0.0,0.0,1.0,2.0,3.0,8.0,37.0
GACC_Type 1 IMTs,50781.0,0.5703314231700833,1.039719844811155,0.0,0.0,0.0,0.0,1.0,3.0,7.0
GACC_Type 2 IMTs,50781.0,0.5212579508083732,0.9718801595603814,0.0,0.0,0.0,0.0,1.0,3.0,13.0
GACC_NIMO Teams,50781.0,0.03536755873259684,0.18975740947041286,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GACC_Area Command Teams,50781.0,0.008723735255312027,0.0967302564986272,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GACC_Fire Use Teams,0.0,,,,,,,,,
GDP,50878.0,55600.1515155863,1385.9121652915578,15790.716,54876.344,55768.438,55768.438,55768.438,55768.438,55768.438
