========================================================================
  Texas Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 51,033
  Columns        : 310
  Large fires    : 1,700  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,333  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  ---------------------------------------------  ------------  --------  --------  -------
  FOD_ID                                         int64           51,033         0     0.0%
  FPA_ID                                         object          51,033         0     0.0%
  SOURCE_SYSTEM_TYPE                             object               3         0     0.0%
  SOURCE_SYSTEM                                  object               6         0     0.0%
  NWCG_REPORTING_AGENCY                          object               6         0     0.0%
  NWCG_REPORTING_UNIT_ID                         object              33         0     0.0%
  NWCG_REPORTING_UNIT_NAME                       object              33         0     0.0%
  SOURCE_REPORTING_UNIT                          object              39         0     0.0%
  SOURCE_REPORTING_UNIT_NAME                     object              46         0     0.0%
  LOCAL_FIRE_REPORT_ID                           float64            285    50,584    99.1%
  LOCAL_INCIDENT_ID                              object          50,073       665     1.3%
  FIRE_CODE                                      object             615    50,263    98.5%
  FIRE_NAME                                      object          37,489        73     0.1%
  ICS_209_PLUS_INCIDENT_JOIN_ID                  object             443    50,586    99.1%
  ICS_209_PLUS_COMPLEX_JOIN_ID                   object              11    51,016   100.0%
  MTBS_ID                                        object             160    50,871    99.7%
  MTBS_FIRE_NAME                                 object             158    50,871    99.7%
  COMPLEX_NAME                                   object              19    51,007    99.9%
  FIRE_YEAR                                      int64                7         0     0.0%
  DISCOVERY_DATE                                 object           2,345         0     0.0%
  DISCOVERY_DOY                                  int64              366         0     0.0%
  DISCOVERY_TIME                                 float64            899    45,962    90.1%
  NWCG_CAUSE_CLASSIFICATION                      object               3         0     0.0%
  NWCG_GENERAL_CAUSE                             object              13         0     0.0%
  NWCG_CAUSE_AGE_CATEGORY                        object               2    50,733    99.4%
  CONT_DATE                                      object           1,431    45,884    89.9%
  CONT_DOY                                       float64            366    45,884    89.9%
  CONT_TIME                                      float64            974    46,069    90.3%
  FIRE_SIZE                                      float64          1,162         0     0.0%
  FIRE_SIZE_CLASS                                object               7         0     0.0%
  LATITUDE                                       float64         46,440         0     0.0%
  LONGITUDE                                      float64         46,972         0     0.0%
  OWNER_DESCR                                    object              13         0     0.0%
  STATE                                          object               1         0     0.0%
  COUNTY                                         object             289       261     0.5%
  FIPS_CODE                                      float64            252       261     0.5%
  FIPS_NAME                                      object             252       261     0.5%
  LatLong_State                                  object               6        15     0.0%
  LatLong_County                                 object             262        15     0.0%
  NPL                                            float64              5         0     0.0%
  Mang_Type                                      object               9         2     0.0%
  Mang_Name                                      object              21         2     0.0%
  Des_Tp                                         object              31         2     0.0%
  GAP_Sts                                        float64              5         2     0.0%
  GAP_Prity                                      float64              6         2     0.0%
  EVH                                            float64             80         0     0.0%
  EVT                                            float64            198         0     0.0%
  EVH_1km                                        object          44,470         0     0.0%
  EVT_1km                                        object          47,130         0     0.0%
  EVC                                            float64            212         0     0.0%
  EVC_1km                                        object          41,117         0     0.0%
  NAME                                           object              22        10     0.0%
  MOD_NDVI_12m                                   object          41,236         0     0.0%
  MOD_EVI_12m                                    object          41,236         0     0.0%
  Land_Cover                                     float64             16         0     0.0%
  Land_Cover_1km                                 object          46,587         0     0.0%
  rpms                                           float64          3,690         0     0.0%
  rpms_1km                                       float64         48,311         0     0.0%
  Population                                     float64         15,418         0     0.0%
  Popo_1km                                       float64         16,917         2     0.0%
