feature,cohens_d,mwu_pvalue
Elevation,0.9073211051472444,4.067705420265744e-217
erc,0.602540002286462,2.2117103438183377e-127
rmin,0.5743318656669004,3.123810202696207e-139
fm100,0.502015018017651,2.9173527879513493e-93
vpd,0.4411301515766764,5.028698872857406e-63
bi,0.3425404499238816,2.8063915898069037e-72
vs,0.2947280573611918,4.30905332224309e-30
tmmx,0.19815114638137815,6.486511162943547e-18
srad,0.16264818942975406,6.259128066134837e-09
Slope,0.034327996624603355,0.0014061001755043834
GHM,0.031199894068039385,0.0
TRI,0.015006766443606339,2.7660604032416557e-06
