column,dtype,null_count,null_pct,unique_count
geometry,float64,51033,100.0,1
IAHSEF,float64,51033,100.0,1
IAPLHS_88,float64,51033,100.0,1
GACC_Fire Use Teams,float64,51033,100.0,1
IAULHS_89,float64,51033,100.0,1
IALMIL_87,float64,51033,100.0,1
ICS_209_PLUS_COMPLEX_JOIN_ID,object,51016,99.97,11
COMPLEX_NAME,object,51007,99.95,19
road_interstate_dis,float64,50994,99.92,35
road_US_dis,float64,50922,99.78,90
MTBS_FIRE_NAME,object,50871,99.68,158
MTBS_ID,object,50871,99.68,160
road_other_dis,float64,50772,99.49,170
NWCG_CAUSE_AGE_CATEGORY,object,50733,99.41,2
LOCAL_FIRE_REPORT_ID,float64,50584,99.12,285
ICS_209_PLUS_INCIDENT_JOIN_ID,object,50586,99.12,443
road_state_dis,float64,50270,98.5,229
Evacuation,float64,50266,98.5,5
FIRE_CODE,object,50263,98.49,615
road_county_dis,float64,50074,98.12,253
No_FireStation_1.0km,float64,46201,90.53,4
CONT_TIME,float64,46069,90.27,974
DISCOVERY_TIME,float64,45962,90.06,899
CONT_DATE,object,45884,89.91,1431
CONT_DOY,float64,45884,89.91,366
No_FireStation_5.0km,float64,19032,37.29,18
road_common_name_dis,float64,17200,33.7,507
CheatGrass,float64,16842,33.0,21
ExoticAnnualGrass,float64,16842,33.0,24
Medusahead,float64,16842,33.0,8
PoaSecunda,float64,16842,33.0,8
WF_PFS,float64,5191,10.17,99
TF_PFS,float64,4295,8.42,101
EPL_PCI,float64,2708,5.31,3824
fm1000_Normal,float64,2575,5.05,158
rmin_Normal,float64,2575,5.05,511
rmax_Normal,float64,2575,5.05,443
LLEF_PFS,float64,2539,4.98,101
No_FireStation_10.0km,float64,2140,4.19,71
NDVI-1day,float64,947,1.86,107
LOCAL_INCIDENT_ID,object,665,1.3,50073
MHVF_PFS,float64,276,0.54,101
FIPS_NAME,object,261,0.51,252
FIPS_CODE,float64,261,0.51,252
COUNTY,object,261,0.51,289
GACC_Area Command Teams,float64,185,0.36,3
GACCAbbrev,object,185,0.36,11
GACC_NIMO Teams,float64,185,0.36,4
GACC_Type 2 IMTs,float64,185,0.36,15
GACC_Type 1 IMTs,float64,185,0.36,10
GACC_Uncont LF,float64,185,0.36,34
GACC_New LF,float64,185,0.36,40
GACC_New fire,float64,185,0.36,228
GACC_PL,float64,185,0.36,6
No_FireStation_20.0km,float64,98,0.19,252
LMI_PFS,float64,99,0.19,101
FIRE_NAME,object,73,0.14,37489
HBF_PFS,float64,65,0.13,101
vs_Percentile,object,57,0.11,7
EBF_PFS,float64,49,0.1,56
LIF_PFS,float64,50,0.1,77
P200_PFS,float64,50,0.1,101
P100_PFS,float64,50,0.1,101
AF_PFS,float64,39,0.08,56
DF_PFS,float64,39,0.08,91
HDF_PFS,float64,39,0.08,71
bi_Percentile,object,37,0.07,7
HSEF,float64,36,0.07,72
vpd_Percentile,object,31,0.06,13
NCA,float64,25,0.05,65
CA,float64,25,0.05,65
UF_PFS,float64,25,0.05,101
erc_Percentile,object,27,0.05,7
EPL_LIMENG,float64,15,0.03,2904
EPL_MINRTY,float64,15,0.03,3656
EPLR_PFS,float64,17,0.03,94
RPL_THEME2,float64,15,0.03,4294
DSF_PFS,float64,17,0.03,98
EPL_DISABL,float64,15,0.03,950
EPL_SNGPNT,float64,15,0.03,3213
EPL_AGE65,float64,15,0.03,1152
EPL_AGE17,float64,15,0.03,3242
EPL_NOHSDP,float64,15,0.03,1508
RPL_THEME4,float64,15,0.03,4379
EPL_GROUPQ,float64,15,0.03,1901
EPL_NOVEH,float64,15,0.03,799
EPL_CROWD,float64,15,0.03,2798
EPL_MOBILE,float64,15,0.03,1300
LatLong_State,object,15,0.03,6
EPL_MUNIT,float64,15,0.03,2515
TRACT,float64,15,0.03,1756
RPL_THEMES,float64,15,0.03,4259
RPL_THEME1,float64,15,0.03,4311
EPL_POV,float64,15,0.03,1572
RPL_THEME3,float64,15,0.03,4042
LatLong_County,object,15,0.03,262
EPL_UNEMP,float64,15,0.03,713
Ecoregion_US_L4CODE,object,10,0.02,57
Ecoregion_US_L3CODE,float64,10,0.02,13
Ecoregion_NA_L3CODE,object,10,0.02,13
Ecoregion_NA_L2CODE,float64,10,0.02,7
Ecoregion_NA_L1CODE,float64,10,0.02,5
GDP,float64,11,0.02,17
NAME,object,10,0.02,22
fm100_Percentile,object,5,0.01,7
EBLR_PFS,float64,3,0.01,74
FRG,float64,0,0.0,10
UI_EXP,object,2,0.0,2
Slope,float64,0,0.0,31
GHM,float64,0,0.0,102
TPI,float64,0,0.0,83
M_WKFC_105,float64,2,0.0,3
M_EBSI,float64,2,0.0,3
TPI_1km,float64,0,0.0,26
THRHLD,float64,2,0.0,2
TRI_1km,float64,0,0.0,6944
Elevation,float64,0,0.0,1452
Aspect,float64,0,0.0,361
Elevation_1km,float64,0,0.0,49042
FRG_1km,object,0,0.0,11435
Aspect_1km,float64,0,0.0,43128
TRI,float64,0,0.0,356
Slope_1km,float64,0,0.0,28126
FOD_ID,int64,0,0.0,51033
SDI,float64,0,0.0,90
Annual_etr,float64,0,0.0,1313
fm1000_5D_mean,float64,0,0.0,214
bi_5D_mean,float64,0,0.0,488
vpd_5D_mean,float64,0,0.0,428
erc_5D_mean,float64,0,0.0,457
pr_5D_min,float64,0,0.0,46
pr_5D_max,float64,0,0.0,961
tmmn_5D_max,float64,0,0.0,372
tmmx_5D_max,float64,0,0.0,393
rmin_5D_min,float64,0,0.0,624
rmax_5D_min,float64,0,0.0,783
sph_5D_min,float64,0,0.0,1892
vs_5D_max,float64,0,0.0,117
th_5D_max,float64,0,0.0,356
srad_5D_max,float64,0,0.0,2709
etr_5D_max,float64,0,0.0,190
fm100_5D_min,float64,0,0.0,195
fm1000_5D_min,float64,0,0.0,213
bi_5D_max,float64,0,0.0,116
vpd_5D_max,float64,0,0.0,478
erc_5D_max,float64,0,0.0,100
tmmn_Percentile,object,0,0.0,1
tmmx_Percentile,object,0,0.0,1
sph_Percentile,object,0,0.0,6
NDVI_min,object,0,0.0,41160
NDVI_max,object,0,0.0,41218
NDVI_mean,object,0,0.0,41218
source_year,int64,0,0.0,7
fm100_5D_mean,float64,0,0.0,208
etr_5D_mean,float64,0,0.0,742
srad_5D_mean,float64,0,0.0,20006
etr,float64,0,0.0,187
Annual_precipitation,float64,0,0.0,2018
Annual_tempreture,float64,0,0.0,14
Aridity_index,float64,0,0.0,135
pr,float64,0,0.0,578
tmmn,float64,0,0.0,436
tmmx,float64,0,0.0,480
rmin,float64,0,0.0,891
rmax,float64,0,0.0,750
sph,float64,0,0.0,1983
vs,float64,0,0.0,114
th,float64,0,0.0,361
srad,float64,0,0.0,3264
fm100,float64,0,0.0,220
th_5D_mean,float64,0,0.0,1471
fm1000,float64,0,0.0,219
bi,float64,0,0.0,117
vpd,float64,0,0.0,464
erc,float64,0,0.0,101
pr_5D_mean,float64,0,0.0,1159
M_WKFC_103,float64,2,0.0,3
tmmn_5D_mean,float64,0,0.0,3903
tmmx_5D_mean,float64,0,0.0,3898
rmin_5D_mean,float64,0,0.0,732
rmax_5D_mean,float64,0,0.0,663
sph_5D_mean,float64,0,0.0,14809
vs_5D_mean,float64,0,0.0,341
FPL200S,float64,2,0.0,3
LLE_ET,float64,2,0.0,3
M_HLTH_102,float64,2,0.0,3
bi_Normal,float64,0,0.0,538
MOD_EVI_12m,object,0,0.0,41236
Land_Cover,float64,0,0.0,16
Land_Cover_1km,object,0,0.0,46587
rpms,float64,0,0.0,3690
rpms_1km,float64,0,0.0,48311
Population,float64,0,0.0,15418
Popo_1km,float64,2,0.0,16917
pr_Normal,float64,0,0.0,624
tmmn_Normal,float64,0,0.0,328
tmmx_Normal,float64,0,0.0,307
sph_Normal,float64,0,0.0,186
srad_Normal,float64,0,0.0,236
fm100_Normal,float64,0,0.0,146
vpd_Normal,float64,0,0.0,263
M_PLN,float64,2,0.0,3
erc_Normal,float64,0,0.0,584
EALR_PFS,float64,2,0.0,101
PM25F_PFS,float64,2,0.0,90
LPF_PFS,float64,2,0.0,99
NPL_PFS,float64,2,0.0,101
RMP_PFS,float64,2,0.0,101
TSDF_PFS,float64,2,0.0,94
TPF,float64,2,0.0,2185
M_WTR,float64,2,0.0,3
M_WKFC,float64,2,0.0,3
M_CLT,float64,2,0.0,3
M_ENY,float64,2,0.0,3
M_TRN,float64,2,0.0,3
MOD_NDVI_12m,object,0,0.0,41236
EVC_1km,object,0,0.0,41117
EVC,float64,0,0.0,212
EVT_1km,object,0,0.0,47130
SOURCE_SYSTEM_TYPE,object,0,0.0,3
SOURCE_SYSTEM,object,0,0.0,6
NWCG_REPORTING_AGENCY,object,0,0.0,6
NWCG_REPORTING_UNIT_ID,object,0,0.0,33
NWCG_REPORTING_UNIT_NAME,object,0,0.0,33
SOURCE_REPORTING_UNIT,object,0,0.0,39
SOURCE_REPORTING_UNIT_NAME,object,0,0.0,46
FIRE_YEAR,int64,0,0.0,7
DISCOVERY_DATE,object,0,0.0,2345
DISCOVERY_DOY,int64,0,0.0,366
NWCG_CAUSE_CLASSIFICATION,object,0,0.0,3
NWCG_GENERAL_CAUSE,object,0,0.0,13
FIRE_SIZE,float64,0,0.0,1162
FIRE_SIZE_CLASS,object,0,0.0,7
LATITUDE,float64,0,0.0,46440
LONGITUDE,float64,0,0.0,46972
OWNER_DESCR,object,0,0.0,13
STATE,object,0,0.0,1
NPL,float64,0,0.0,5
Mang_Type,object,2,0.0,9
Mang_Name,object,2,0.0,21
Des_Tp,object,2,0.0,31
GAP_Sts,float64,2,0.0,5
GAP_Prity,float64,2,0.0,6
EVH,float64,0,0.0,80
EVT,float64,0,0.0,198
EVH_1km,object,0,0.0,44470
M_HSG,float64,2,0.0,3
M_HLTH,float64,2,0.0,3
M_WTR_EOMI,float64,2,0.0,3
IA_UN_ET,float64,2,0.0,2
RMP_ET,float64,2,0.0,3
NPL_ET,float64,2,0.0,3
TSDF_ET,float64,2,0.0,3
WD_ET,float64,2,0.0,3
DB_ET,float64,2,0.0,3
A_ET,float64,2,0.0,3
HD_ET,float64,2,0.0,3
FPA_ID,object,0,0.0,51033
UN_ET,float64,2,0.0,3
LISO_ET,float64,2,0.0,3
POV_ET,float64,2,0.0,3
LMI_ET,float64,2,0.0,3
IA_LMI_ET,float64,2,0.0,2
IA_POV_ET,float64,2,0.0,2
SM_C,float64,2,0.0,3
TC,float64,2,0.0,14
CC,float64,2,0.0,9
IAULHSE,float64,2,0.0,2
IAPLHSE,float64,2,0.0,2
IALMILHSE,float64,2,0.0,2
LHE,float64,2,0.0,3
IALHE,float64,2,0.0,2
CA_LT20,float64,2,0.0,3
M_CLT_EOMI,float64,2,0.0,3
M_ENY_EOMI,float64,2,0.0,3
M_TRN_EOMI,float64,2,0.0,3
M_HSG_EOMI,float64,2,0.0,3
M_PLN_EOMI,float64,2,0.0,3
HB_ET,float64,2,0.0,3
LPP_ET,float64,2,0.0,3
TP_ET,float64,2,0.0,3
DS_ET,float64,2,0.0,3
SM_PFS,float64,2,0.0,3
EPLRLI,float64,2,0.0,3
EALRLI,float64,2,0.0,3
