,count,mean,std,min,5%,25%,50%,75%,95%,max
FOD_ID,51033.0,367244725.1438481,47068425.57933727,300000484.0,300105795.6,300252971.0,400103719.0,400351485.0,400567713.4,400647389.0
LOCAL_FIRE_REPORT_ID,449.0,2301.485523385301,3095.326235603007,1.0,3.400000000000002,21.0,259.0,5004.0,8614.199999999966,16614.0
FIRE_YEAR,51033.0,2016.5634197480063,1.8064186822517696,2014.0,2014.0,2015.0,2017.0,2018.0,2020.0,2020.0
DISCOVERY_DOY,51033.0,168.10046440538474,99.71349083217667,1.0,18.0,75.0,181.0,244.0,331.0,366.0
DISCOVERY_TIME,5071.0,1486.9276276868468,334.1598297261885,0.0,900.0,1330.0,1515.0,1654.0,2015.0,2354.0
CONT_DOY,5149.0,176.57661681879978,99.44826526389808,1.0,25.0,81.0,199.0,255.0,331.0,366.0
CONT_TIME,4964.0,1613.9012892828364,419.6957980391853,0.0,850.3,1445.0,1658.0,1856.0,2150.0,2359.0
FIRE_SIZE,51033.0,43.03084043658025,1645.5022245371624,0.01,0.02,0.5,1.0,4.0,50.0,318156.0
LATITUDE,51033.0,31.848043057804357,1.881397059458044,25.86612,28.43626,30.7953,32.1524,32.88976,34.919624,36.73117
LONGITUDE,51033.0,-97.34695995645936,2.1733703328786436,-106.638155,-101.760476,-98.5482,-97.1520949,-95.598903,-94.379216668,-93.55826667
FIPS_CODE,50772.0,48253.253367998106,154.49805546894694,48001.0,48025.0,48113.0,48237.0,48401.0,48479.0,48507.0
NPL,51033.0,1.8502929477005075,1.1806083125338718,1.0,1.0,1.0,1.0,2.0,5.0,5.0
GAP_Sts,51031.0,3.9776606376516237,0.2119556636409091,1.0,4.0,4.0,4.0,4.0,4.0,4.0
GAP_Prity,51031.0,0.14167858752522977,1.0047278381977633,0.0,0.0,0.0,0.0,0.0,0.0,9.0
EVH,51033.0,109.6088609331217,119.10464159904394,11.0,17.0,25.0,25.0,228.0,304.0,308.0
EVT,51033.0,7711.37046616895,709.9940204619189,7023.0,7296.0,7299.0,7299.0,7977.0,9823.0,9994.0
EVC,51033.0,126.22567750279231,141.73055576140231,11.0,17.0,25.0,25.0,238.0,368.0,399.0
Land_Cover,51033.0,43.28669684321909,24.73314717344807,0.0,21.0,22.0,24.0,71.0,81.0,95.0
rpms,51033.0,914.7509846569867,1528.621237157524,0.0,0.0,0.0,0.0,1561.0,4418.0,5568.0
rpms_1km,51033.0,866.1005976533811,618.5322916112606,0.0,13.999375291375298,338.252801992528,801.732717948718,1311.2473076923077,1978.9817933007807,3223.1142307692307
Population,51033.0,-82.55253626085081,2901.5783652880978,-99999.0,0.0,0.0045,0.0791,0.5316,8.979159999999958,432.8599
