Column,Gate,Reason
M_WTR,Gate2,EXACT_DUPLICATE of WDLI (r=1.000)
M_WTR_EOMI,Gate2,EXACT_DUPLICATE of WD_ET (r=1.000)
SM_PFS,Gate2,EXACT_DUPLICATE of SM_C (r=1.000)
LHE,Gate2,EXACT_DUPLICATE of M_WKFC_105 (r=1.000)
CheatGrass,Gate2,NEAR_DUPLICATE in group 'invasive_grass' — keeping ExoticAnnualGrass
Medusahead,Gate2,NEAR_DUPLICATE in group 'invasive_grass' — keeping ExoticAnnualGrass
PoaSecunda,Gate2,NEAR_DUPLICATE in group 'invasive_grass' — keeping ExoticAnnualGrass
EPL_POV,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_UNEMP,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_NOHSDP,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_PCI,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_AGE65,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_AGE17,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_DISABL,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_SNGPNT,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_LIMENG,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_MINRTY,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_MUNIT,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_MOBILE,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_CROWD,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_NOVEH,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
EPL_GROUPQ,Gate2,"NEAR_DUPLICATE in group 'svi_composites' — keeping RPL_THEMES, RPL_THEME1, RPL_THEME2, RPL_THEME3, RPL_THEME4"
Ecoregion_NA_L1CODE,Gate2,HIGH_CORR with Ecoregion_NA_L2CODE (r=0.9999 ≥ 0.99)
NCA,Gate2,HIGH_CORR with CA (r=0.9998 ≥ 0.99)
fm1000_5D_mean,Gate2,HIGH_CORR with fm1000 (r=0.9989 ≥ 0.99)
Elevation_1km,Gate2,HIGH_CORR with Elevation (r=0.9984 ≥ 0.99)
EVC,Gate2,HIGH_CORR with EVH (r=0.9973 ≥ 0.99)
Slope_1km,Gate2,HIGH_CORR with TRI_1km (r=0.9960 ≥ 0.99)
fm1000_5D_min,Gate2,HIGH_CORR with fm1000 (r=0.9958 ≥ 0.99)
FPL200S,Gate2,HIGH_CORR with M_EBSI (r=0.9915 ≥ 0.99)
A_ET,Gate2,HIGH_CORR with ALI (r=0.9911 ≥ 0.99)
LISO_ET,Gate2,HIGH_CORR with LILHSE (r=0.9906 ≥ 0.99)
M_HSG,Gate2,HIGH_CORR with HBLI (r=0.9901 ≥ 0.99)
