h3_cell,date_utc,window_hour,window_6h_utc,label,centroid_lat,centroid_lon,fire_year,state_x,state_y,h3_resolution,ecoregion_l3,ecoregion_l2,fire_count,has_fire_history,burnable,avg_burn_prob,whp,flep4,cfl,erc,fm100,fm1000,bi,vpd,vs,rmax,rmin,tmmx,tmmn,pr,sph,erc_5D_mean,erc_5D_max,fm100_5D_mean,fm100_5D_min,bi_5D_mean,bi_5D_max,vpd_5D_mean,vpd_5D_max,vs_5D_mean,vs_5D_max,rmax_5D_mean,rmax_5D_min,tmmx_5D_mean,tmmx_5D_max,sin_month,cos_month,sin_hour,cos_hour
8844696b19fffff,2014-01-01,18,2014-01-01 18:00:00,1,31.8978,-95.482324,2014,TX,TX,8.0,8.3.7,8.3,1.0,True,True,0.0,0.0,0.0,0.0,29.0,1.66,1.86,33.0,0.0067,0.44,10.0,2.72,-24.059998,-36.009995,0.0,3.84e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
8826d0b431fffff,2014-01-01,18,2014-01-01 18:00:00,0,35.826303,-101.75785,2014,TX,TX,8.0,9.4.1,9.4,0.0,False,True,0.0,0.0,0.0,0.0,35.0,1.68,1.56,37.0,0.0047,0.48,10.0,2.57,-24.679993,-36.64,0.0,2.6e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
88488c35dbfffff,2014-01-01,18,2014-01-01 18:00:00,0,29.686639,-102.521727,2014,TX,TX,8.0,10.2.4,10.2,0.0,False,True,0.0,0.0,0.0,0.0,40.0,1.49,1.51,35.0,0.0096,0.35,8.9,1.98,-23.769989,-35.839996,0.0,3.78e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
88489a704bfffff,2014-01-01,18,2014-01-01 18:00:00,0,31.303141,-96.948059,2014,TX,TX,8.0,9.4.7,9.4,0.0,False,True,0.0,0.0,0.0,0.0,33.0,1.53,1.76,38.0,0.0087,0.45,9.67,2.23,-23.829987,-35.949997,0.0,3.67e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
8826deb553fffff,2014-01-01,18,2014-01-01 18:00:00,0,34.029462,-100.818628,2014,TX,TX,8.0,9.4.3,9.4,0.0,False,True,0.0,0.0,0.0,0.0,36.0,1.7,1.58,42.0,0.0088,0.58,10.0,1.59,-23.869995,-36.549988,0.0,2.95e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
88488b68edfffff,2014-01-01,18,2014-01-01 18:00:00,0,32.1437,-101.386839,2014,TX,TX,8.0,9.4.3,9.4,0.0,False,True,0.0,0.0,0.0,0.0,34.0,1.65,1.66,38.0,0.0104,0.51,9.98,1.54,-23.649994,-36.11,0.0,3.52e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
88489e2699fffff,2014-01-01,18,2014-01-01 18:00:00,0,30.443996,-97.83904,2014,TX,TX,8.0,9.4.6,9.4,0.0,False,True,0.0,0.0,0.0,0.0,33.0,1.55,1.74,36.0,0.0077,0.4,9.09,2.58,-23.959991,-35.73999,0.0,4.02e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
8848800cb3fffff,2014-01-01,18,2014-01-01 18:00:00,0,28.194132,-99.935342,2014,TX,TX,8.0,9.6.1,9.6,0.0,False,True,0.0,0.0,0.0,0.0,27.0,1.92,1.84,26.0,0.0055,0.25,9.98,3.9,-24.079987,-35.369995,0.0,5.56e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
88446b71cdfffff,2014-01-01,18,2014-01-01 18:00:00,0,32.134687,-94.430825,2014,TX,TX,8.0,8.3.7,8.3,0.0,False,True,0.0,0.0,0.0,0.0,26.0,1.73,1.89,28.0,0.0055,0.38,10.0,3.14,-24.279999,-36.03,0.0,3.73e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
8844680ac9fffff,2014-01-01,18,2014-01-01 18:00:00,0,30.798744,-94.781437,2014,TX,TX,8.0,8.3.7,8.3,1.0,True,True,0.0,0.0,0.0,0.0,28.0,1.59,1.81,25.0,0.0063,0.26,8.98,3.49,-24.12999,-35.579987,0.0,4.41e-08,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
