h3_cell,date_utc,window_hour,window_6h_utc,label,centroid_lat,centroid_lon,fire_year,state
8826d0b431fffff,2014-01-01,18,2014-01-01 18:00:00,0,35.826303,-101.75785,2014,TX
88488c35dbfffff,2014-01-01,18,2014-01-01 18:00:00,0,29.686639,-102.521727,2014,TX
88489a704bfffff,2014-01-01,18,2014-01-01 18:00:00,0,31.303141,-96.948059,2014,TX
8826deb553fffff,2014-01-01,18,2014-01-01 18:00:00,0,34.029462,-100.818628,2014,TX
88488b68edfffff,2014-01-01,18,2014-01-01 18:00:00,0,32.1437,-101.386839,2014,TX
88489e2699fffff,2014-01-01,18,2014-01-01 18:00:00,0,30.443996,-97.83904,2014,TX
8848800cb3fffff,2014-01-01,18,2014-01-01 18:00:00,0,28.194132,-99.935342,2014,TX
88446b71cdfffff,2014-01-01,18,2014-01-01 18:00:00,0,32.134687,-94.430825,2014,TX
8844680ac9fffff,2014-01-01,18,2014-01-01 18:00:00,0,30.798744,-94.781437,2014,TX
8826d51a69fffff,2014-01-01,18,2014-01-01 18:00:00,0,36.369744,-101.327743,2014,TX
8826cc5299fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.62641,-96.956799,2014,TX
8848d41025fffff,2014-01-02,18,2014-01-02 18:00:00,0,31.714876,-104.112881,2014,TX
8826d5a441fffff,2014-01-02,18,2014-01-02 18:00:00,0,36.142998,-100.479406,2014,TX
8826dc54e1fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.379492,-100.529743,2014,TX
8848f33b29fffff,2014-01-02,18,2014-01-02 18:00:00,0,31.592487,-105.454747,2014,TX
8826cdccd7fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.907977,-95.746998,2014,TX
8848de09b3fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.983726,-104.831866,2014,TX
8826cc8dc1fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.664381,-96.389067,2014,TX
8848dad4d3fffff,2014-01-02,18,2014-01-02 18:00:00,0,35.592877,-104.869943,2014,TX
8848d1d36dfffff,2014-01-02,18,2014-01-02 18:00:00,0,33.098479,-104.784483,2014,TX
884894ba01fffff,2014-01-02,18,2014-01-02 18:00:00,0,26.776059,-97.029378,2014,TX
8826cad753fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.438172,-98.129259,2014,TX
8826ca6625fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.521312,-98.096966,2014,TX
8826ced147fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.623638,-98.170978,2014,TX
88489c556bfffff,2014-01-02,18,2014-01-02 18:00:00,0,29.488597,-98.133606,2014,TX
8848d8d149fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.946034,-105.836113,2014,TX
8848b2780bfffff,2014-01-02,18,2014-01-02 18:00:00,0,26.090871,-96.485559,2014,TX
88488e584bfffff,2014-01-02,18,2014-01-02 18:00:00,0,29.710032,-100.183844,2014,TX
8826ca4d95fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.712602,-98.576274,2014,TX
8826c82e07fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.881456,-96.484503,2014,TX
8826d15005fffff,2014-01-02,18,2014-01-02 18:00:00,0,35.205796,-101.84975,2014,TX
8848dc5849fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.264227,-105.624781,2014,TX
8848d112d3fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.51402,-105.277134,2014,TX
8826c155bbfffff,2014-01-02,18,2014-01-02 18:00:00,0,35.172184,-98.018166,2014,TX
88488e4887fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.959223,-100.184346,2014,TX
8826c20f61fffff,2014-01-02,18,2014-01-02 18:00:00,0,35.408183,-100.134014,2014,TX
8826c38a37fffff,2014-01-02,18,2014-01-02 18:00:00,0,35.1423,-98.856362,2014,TX
884894a0a7fffff,2014-01-02,18,2014-01-02 18:00:00,0,27.004263,-97.151199,2014,TX
8848d50c39fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.717369,-105.251221,2014,TX
88488e5b33fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.71283,-100.132563,2014,TX
8848de896bfffff,2014-01-02,18,2014-01-02 18:00:00,0,34.495266,-104.985151,2014,TX
8848d1d6e3fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.252037,-105.079805,2014,TX
8826dd0c11fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.497981,-99.105013,2014,TX
8848d36137fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.593435,-103.586042,2014,TX
8826dc8531fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.63521,-99.897968,2014,TX
8826dd5467fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.721376,-99.467765,2014,TX
884891532dfffff,2014-01-02,18,2014-01-02 18:00:00,0,28.625291,-96.963248,2014,TX
88488d171dfffff,2014-01-02,18,2014-01-02 18:00:00,0,29.918871,-103.292219,2014,TX
884898a92dfffff,2014-01-02,18,2014-01-02 18:00:00,0,30.73251,-98.593736,2014,TX
8826cc601dfffff,2014-01-02,18,2014-01-02 18:00:00,0,34.099505,-96.78844,2014,TX
8826c34539fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.662734,-99.369626,2014,TX
88489da921fffff,2014-01-02,18,2014-01-02 18:00:00,0,30.304369,-99.830889,2014,TX
8826d36c85fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.0231,-102.819643,2014,TX
88488d1aa3fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.946049,-103.039334,2014,TX
8848f66233fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.924516,-104.192657,2014,TX
8848963129fffff,2014-01-02,18,2014-01-02 18:00:00,0,27.582545,-95.66596,2014,TX
8848981025fffff,2014-01-02,18,2014-01-02 18:00:00,0,30.532995,-98.358243,2014,TX
8848f22e29fffff,2014-01-02,18,2014-01-02 18:00:00,0,31.179615,-104.545966,2014,TX
8826d3308dfffff,2014-01-02,18,2014-01-02 18:00:00,0,34.38854,-102.249673,2014,TX
8848f35039fffff,2014-01-02,18,2014-01-02 18:00:00,0,31.276417,-104.876364,2014,TX
8826cea589fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.94808,-97.194684,2014,TX
8848d5814dfffff,2014-01-02,18,2014-01-02 18:00:00,0,32.112986,-105.395948,2014,TX
8848d8baa1fffff,2014-01-02,18,2014-01-02 18:00:00,0,35.342637,-106.626829,2014,TX
88489dd9ebfffff,2014-01-02,18,2014-01-02 18:00:00,0,29.825978,-99.123608,2014,TX
8844697a33fffff,2014-01-02,18,2014-01-02 18:00:00,0,31.759443,-95.557836,2014,TX
8826cdd919fffff,2014-01-02,18,2014-01-02 18:00:00,0,34.215775,-95.976558,2014,TX
8826d1c653fffff,2014-01-02,18,2014-01-02 18:00:00,0,35.388765,-101.40669,2014,TX
88488c0189fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.392862,-102.02457,2014,TX
8848da24ddfffff,2014-01-02,18,2014-01-02 18:00:00,0,36.435305,-105.479978,2014,TX
8826cba5c5fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.113553,-96.334621,2014,TX
8826c90e43fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.542913,-95.691754,2014,TX
88446d0291fffff,2014-01-02,18,2014-01-02 18:00:00,0,30.391678,-96.189492,2014,TX
88446d12c3fffff,2014-01-02,18,2014-01-02 18:00:00,0,30.199033,-96.205106,2014,TX
88489ed865fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.479283,-96.870004,2014,TX
8826c95ae7fffff,2014-01-02,18,2014-01-02 18:00:00,0,32.739564,-96.316142,2014,TX
8848924ecbfffff,2014-01-02,18,2014-01-02 18:00:00,0,28.658178,-94.844754,2014,TX
8826ca5441fffff,2014-01-02,18,2014-01-02 18:00:00,0,33.026575,-98.347186,2014,TX
884883ca09fffff,2014-01-02,18,2014-01-02 18:00:00,0,28.733605,-99.342039,2014,TX
884889451bfffff,2014-01-02,18,2014-01-02 18:00:00,0,31.343318,-102.619265,2014,TX
88488dc557fffff,2014-01-02,18,2014-01-02 18:00:00,0,29.772389,-102.952569,2014,TX
884882a95dfffff,2014-01-02,18,2014-01-02 18:00:00,0,28.416736,-98.977977,2014,TX
8848822619fffff,2014-01-02,18,2014-01-02 18:00:00,0,28.811415,-99.190143,2014,TX
88489e4809fffff,2014-01-02,18,2014-01-02 18:00:00,0,30.033574,-96.652479,2014,TX
