column,missing_count,missing_pct
geometry,50881,100.0
GACC_Fire Use Teams,50881,100.0
IAPLHS_88,50881,100.0
IAULHS_89,50881,100.0
IAHSEF,50881,100.0
IALMIL_87,50881,100.0
road_interstate_dis,50840,99.92
road_US_dis,50758,99.76
ICS_209_PLUS_COMPLEX_JOIN_ID,50662,99.57
COMPLEX_NAME,50657,99.56
MTBS_ID,50578,99.4
MTBS_FIRE_NAME,50578,99.4
road_other_dis,50536,99.32
road_state_dis,50188,98.64
ICS_209_PLUS_INCIDENT_JOIN_ID,50132,98.53
road_county_dis,50042,98.35
NWCG_CAUSE_AGE_CATEGORY,49703,97.68
Evacuation,45352,89.13
No_FireStation_1.0km,42760,84.04
FIRE_CODE,39024,76.7
LOCAL_FIRE_REPORT_ID,38475,75.62
WF_PFS,23558,46.3
CONT_TIME,20791,40.86
CONT_DATE,20472,40.24
CONT_DOY,20472,40.24
road_common_name_dis,17820,35.02
FIRE_NAME,15444,30.35
PoaSecunda,13847,27.21
CheatGrass,13847,27.21
ExoticAnnualGrass,13847,27.21
Medusahead,13847,27.21
No_FireStation_5.0km,12076,23.73
FIPS_CODE,4599,9.04
COUNTY,4599,9.04
FIPS_NAME,4599,9.04
LOCAL_INCIDENT_ID,4556,8.95
TF_PFS,4410,8.67
EPL_PCI,3716,7.3
LLEF_PFS,3006,5.91
LMI_PFS,2964,5.83
No_FireStation_10.0km,2434,4.78
NDVI-1day,1186,2.33
fm1000_Normal,806,1.58
rmax_Normal,806,1.58
rmin_Normal,806,1.58
DISCOVERY_TIME,574,1.13
MHVF_PFS,289,0.57
No_FireStation_20.0km,178,0.35
vs_Percentile,112,0.22
GACC_Type 2 IMTs,100,0.2
GACC_NIMO Teams,100,0.2
GACC_Type 1 IMTs,100,0.2
GACC_New LF,100,0.2
GACC_New fire,100,0.2
GACC_PL,100,0.2
GACCAbbrev,100,0.2
GACC_Area Command Teams,100,0.2
GACC_Uncont LF,100,0.2
Ecoregion_US_L3CODE,68,0.13
Ecoregion_NA_L3CODE,68,0.13
Ecoregion_NA_L2CODE,68,0.13
Ecoregion_NA_L1CODE,68,0.13
Ecoregion_US_L4CODE,68,0.13
NAME,68,0.13
vpd_Percentile,63,0.12
HBF_PFS,58,0.11
EPL_DISABL,44,0.09
RPL_THEME4,44,0.09
EPL_LIMENG,44,0.09
TRACT,44,0.09
RPL_THEMES,44,0.09
RPL_THEME1,44,0.09
EPL_POV,44,0.09
EPL_MINRTY,44,0.09
EPL_UNEMP,44,0.09
EPL_MOBILE,44,0.09
EPL_NOHSDP,44,0.09
RPL_THEME2,44,0.09
EPL_AGE65,44,0.09
EPL_AGE17,44,0.09
RPL_THEME3,44,0.09
EPL_SNGPNT,44,0.09
