column,missing_count,missing_pct
geometry,51033,100.0
GACC_Fire Use Teams,51033,100.0
IAHSEF,51033,100.0
IAULHS_89,51033,100.0
IAPLHS_88,51033,100.0
IALMIL_87,51033,100.0
ICS_209_PLUS_COMPLEX_JOIN_ID,51016,99.97
COMPLEX_NAME,51007,99.95
road_interstate_dis,50994,99.92
road_US_dis,50922,99.78
MTBS_ID,50871,99.68
MTBS_FIRE_NAME,50871,99.68
road_other_dis,50772,99.49
NWCG_CAUSE_AGE_CATEGORY,50733,99.41
LOCAL_FIRE_REPORT_ID,50584,99.12
ICS_209_PLUS_INCIDENT_JOIN_ID,50586,99.12
road_state_dis,50270,98.5
Evacuation,50266,98.5
FIRE_CODE,50263,98.49
road_county_dis,50074,98.12
No_FireStation_1.0km,46201,90.53
CONT_TIME,46069,90.27
DISCOVERY_TIME,45962,90.06
CONT_DOY,45884,89.91
CONT_DATE,45884,89.91
No_FireStation_5.0km,19032,37.29
road_common_name_dis,17200,33.7
CheatGrass,16842,33.0
ExoticAnnualGrass,16842,33.0
Medusahead,16842,33.0
PoaSecunda,16842,33.0
WF_PFS,5191,10.17
TF_PFS,4295,8.42
EPL_PCI,2708,5.31
rmin_Normal,2575,5.05
rmax_Normal,2575,5.05
fm1000_Normal,2575,5.05
LLEF_PFS,2539,4.98
No_FireStation_10.0km,2140,4.19
NDVI-1day,947,1.86
LOCAL_INCIDENT_ID,665,1.3
MHVF_PFS,276,0.54
FIPS_CODE,261,0.51
COUNTY,261,0.51
FIPS_NAME,261,0.51
GACC_Type 2 IMTs,185,0.36
GACC_PL,185,0.36
GACC_New fire,185,0.36
GACC_New LF,185,0.36
GACCAbbrev,185,0.36
GACC_Uncont LF,185,0.36
GACC_Type 1 IMTs,185,0.36
GACC_Area Command Teams,185,0.36
GACC_NIMO Teams,185,0.36
LMI_PFS,99,0.19
No_FireStation_20.0km,98,0.19
FIRE_NAME,73,0.14
HBF_PFS,65,0.13
vs_Percentile,57,0.11
P100_PFS,50,0.1
P200_PFS,50,0.1
EBF_PFS,49,0.1
LIF_PFS,50,0.1
HDF_PFS,39,0.08
AF_PFS,39,0.08
DF_PFS,39,0.08
bi_Percentile,37,0.07
HSEF,36,0.07
vpd_Percentile,31,0.06
NCA,25,0.05
UF_PFS,25,0.05
CA,25,0.05
erc_Percentile,27,0.05
LatLong_State,15,0.03
EPL_UNEMP,15,0.03
EPL_AGE65,15,0.03
EPL_NOHSDP,15,0.03
RPL_THEMES,15,0.03
EPL_POV,15,0.03
